#RESOURCE=yCat_22470025
#Name: J/ApJS/247/25
#Title: The SPTpol Extended Cluster Survey (Bleem+, 2020)
#Table	J_ApJS_247_25_cand:
#Name: J/ApJS/247/25/cand
#Title: Galaxy cluster candidates in the SPTpol Extended Cluster Survey (Tables 8 and 9)
#Column	SPT-CL	(A10)	SPT candidate name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	Xi	(F5.2)	[4/24] SPT detection significance, {xi} (1)	[ucd=stat.likelihood;obs]
#Column	Thetac	(F5.2)	[0.25/3] Filter scale that maximizes detection significance ({theta}_c_)	[ucd=instr.scale]
#Column	z	(F6.3)	[0.04/1.4]? Redshift for confirmed systems	[ucd=src.redshift]
#Column	e_z	(F6.3)	[0.004/0.2]? z uncertainty	[ucd=stat.error;src.redshift]
#Column	M500c	(F5.2)	[2.8/14.5]? Mass; in 10^+14^h_70_^-1^M_{sun}_ (2)	[ucd=phys.mass]
#Column	E_M500c	(F5.2)	[0.4/1.5]? Plus 1 sigma in M500c	[ucd=stat.error;stat.max]
#Column	e_M500c	(F5.2)	[0.6/1.7]? Minus 1 sigma in M500c	[ucd=stat.error]
#Column	lambda	(I3)	[19/204]? Richness (3) [NULL integer written as an empty string]	[ucd=src.class.richness]
#Column	e_lambda	(I2)	[2/47]? Richness uncertainty [NULL integer written as an empty string]	[ucd=stat.error]
#SPT-CL	Xi	Thetac	z	e_z	M500c	E_M500c	e_M500c	lambda	e_lambda
# 	 	arcmin	 	 	 	 	 	 	
#----------	-----	-----	------	------	-----	-----	-----	---	--
J0044-3202	 4.28	 2.00	 0.400	 0.010	 4.12	 0.67	 0.92	 64	 4
J0056-3732	 4.59	 1.25	 0.168	 0.004	 4.58	 0.79	 0.99	 66	 5
J0056-3400	 4.05	 0.50	 0.960	 0.020	 3.40	 0.50	 0.74	 20	 4
J0100-3246	 4.19	 0.50	 0.530	 0.010	 3.92	 0.61	 0.88	 19	 3
J0102-2324	 4.38	 0.25	 0.508	 0.007	 4.41	 0.74	 0.99	 85	 4
J0104-2357	 4.24	 2.75	 0.168	 0.004	 4.75	 0.80	 1.08	 86	21
J0106-3719	 4.55	 1.75	 0.560	 0.008	 4.11	 0.66	 0.89	 50	 4
J0107-3015	 4.20	 2.75	 0.505	 0.008	 3.96	 0.64	 0.89	 47	 3
J0109-3613	 4.58	 1.00	 0.920	 0.020	 3.66	 0.62	 0.82	 32	 4
J0115-2917	 4.59	 0.25	 0.410	 0.010	 4.69	 0.81	 1.02	 76	 4
J0119-2025	 4.66	 0.25	 0.820	 0.010	 4.18	 0.69	 0.92	130	14
J0121-3355	 4.99	 1.00	 0.568	 0.006	 4.34	 0.79	 0.93	 97	 4
J0122-2420	 4.49	 0.25	 0.497	 0.007	 4.51	 0.74	 0.98	 83	11
J0128-3625	 4.24	 2.75	 0.870	 0.020	 3.56	 0.58	 0.79	 19	 5
J0134-2949	 4.35	 0.50	 0.880	 0.010	 3.90	 0.64	 0.88	 90	 7
J0135-2045	 4.89	 1.75	 0.376	 0.010	 4.93	 0.88	 1.04	 94	 8
J0138-2155	 4.76	 0.75	 0.338	      	 4.88	 0.87	 1.05	107	17
J0143-3515	 4.31	 0.25	 0.067	      	 4.49	 0.73	 1.00	   	
J0144-2214	 4.73	 0.50	 0.278	      	 4.97	 0.88	 1.05	 73	 3
J0149-3826	 4.99	 1.75	 0.380	 0.030	 4.62	 0.81	 0.94	   	
J0151-3544	 4.95	 0.25	 0.533	 0.006	 4.36	 0.78	 0.94	 75	 3
J0153-2453	 4.78	 1.00	 0.400	 0.010	 4.81	 0.84	 1.05	 21	 3
J0157-2359	 4.85	 2.25	 0.204	 0.006	 5.13	 0.92	 1.10	 32	 9
J0158-2910	 4.06	 0.50	 0.574	 0.007	 4.15	 0.65	 0.92	 85	 4
J0158-2240	 4.45	 1.25	 0.930	 0.020	 3.91	 0.64	 0.87	 37	 7
J0159-3010	 4.59	 0.50	 0.690	 0.010	 3.67	 0.62	 0.82	 96	 5
J0200-2836	 4.07	 0.50	 0.390	 0.010	 3.76	 0.57	 0.83	 24	 3
J0200-2236	 4.46	 1.50	 0.280	 0.006	 4.77	 0.80	 1.04	 79	 4
J0202-2812	 4.01	 1.00	 0.116	 0.005	 3.97	 0.63	 0.89	 24	 3
J0203-2404	 4.20	 0.25	 0.660	 0.020	 3.51	 0.55	 0.79	 19	 3
J0206-2921	 4.37	 3.00	 0.278	 0.009	 4.02	 0.65	 0.88	 43	20
J0206-3831	 4.41	 1.25	 0.457	 0.009	 3.54	 0.57	 0.78	 67	 4
J0209-2730	 4.85	 1.00	 0.314	 0.008	 4.25	 0.76	 0.91	 47	 8
J0210-2446	 4.53	 0.25	 0.700	 0.010	 3.64	 0.61	 0.81	 60	 4
J0212-2051	 4.31	 1.50	 0.575	 0.007	 3.68	 0.57	 0.81	 79	 7
J0213-2912	 4.08	 0.75	 0.900	 0.020	 3.23	 0.50	 0.71	 38	 5
J0213-2758	 4.32	 0.50	 0.323	 0.008	 3.94	 0.67	 0.87	 36	10
J0214-3349	 4.82	 1.25	 0.238	      	 3.98	 0.71	 0.85	 72	 6
J0214-3631	 4.65	 2.75	 0.248	 0.005	 3.85	 0.66	 0.83	 72	 4
J0215-3518	 4.26	 1.25	 0.900	 0.020	 3.03	 0.48	 0.67	 52	 5
J0215-2948	 4.15	 0.25	 0.253	 0.007	 3.59	 0.57	 0.80	 22	 2
J0217-2534	 4.59	 1.00	 0.710	 0.020	 3.67	 0.62	 0.80	111	15
J0223-2753	 4.26	 0.50	 0.440	 0.010	 3.77	 0.61	 0.85	 37	 3
J0224-3223	 4.00	 0.25	 0.540	 0.008	 3.28	 0.49	 0.72	 31	 3
J0224-3415	 4.53	 0.25	 0.593	 0.008	 3.45	 0.56	 0.77	 74	 4
J0224-3811	 4.81	 0.25	 0.281	 0.006	 3.93	 0.69	 0.84	 62	 3
J0225-3635	 4.21	 0.25	 0.460	 0.010	 3.44	 0.54	 0.76	 25	 3
J0225-3550	 4.41	 0.25	 0.289	 0.006	 3.68	 0.62	 0.83	 79	 5
J0226-2648	 4.24	 1.00	 0.990	 0.030	 3.21	 0.49	 0.69	 36	 5
J0227-2448	 4.38	 0.25	 0.650	 0.010	 3.63	 0.57	 0.80	 63	 4
J0227-2852	 4.83	 0.50	 0.214	      	 4.36	 0.77	 0.93	 44	16
J0228-3522	 4.23	 1.25	 0.283	 0.008	 3.61	 0.57	 0.81	 22	 2
J0228-2427	 4.58	 1.00	 0.305	 0.006	 4.12	 0.70	 0.91	 89	 6
J0228-2835	 4.76	 1.75	 0.830	 0.010	 3.61	 0.62	 0.80	 58	 5
J0229-3737	 4.45	 0.25	 0.930	 0.020	 3.09	 0.51	 0.68	135	 7
J0230-3054	 4.32	 1.25	 0.505	 0.007	 3.43	 0.54	 0.76	 41	 3
J0233-2952	 4.20	 1.00	 0.960	 0.030	 2.95	 0.45	 0.64	 19	 4
J0237-2948	 4.24	 1.00	 0.710	 0.020	 3.50	 0.55	 0.77	 19	 3
J0239-2455	 4.18	 0.25	 0.650	 0.010	 3.53	 0.55	 0.78	 80	 5
J0240-3023	 4.15	 1.50	 0.460	 0.010	 3.41	 0.53	 0.75	 20	 2
J0242-3123	 4.42	 0.25	 0.499	 0.007	 3.49	 0.56	 0.78	 43	 3
J0244-2246	 4.68	 0.25	 0.960	 0.020	 3.43	 0.58	 0.76	 64	 6
J0245-2622	 4.02	 1.25	 0.138	 0.005	 3.98	 0.62	 0.87	 25	 2
J0249-3636	 4.86	 0.75	 0.690	 0.020	 3.54	 0.63	 0.75	 40	 4
J0251-2457	 4.31	 1.25	 0.120	 0.005	 4.15	 0.70	 0.92	 88	 3
J0251-2636	 4.13	 1.00	 0.353	 0.009	 3.82	 0.60	 0.85	 65	 8
J0252-1959	 4.98	 0.50	 0.740	 0.020	 3.84	 0.69	 0.83	 47	 4
J0254-3106	 4.05	 0.50	 0.531	 0.007	 3.31	 0.50	 0.72	 61	 4
J0256-3504	 4.75	 0.50	 0.750	 0.010	 3.42	 0.56	 0.73	 76	 6
J0257-2009	 4.88	 0.50	 0.700	 0.010	 3.82	 0.68	 0.83	152	 6
J0258-2613	 4.25	 1.50	 0.730	 0.010	 3.47	 0.55	 0.76	 71	 4
J0301-3708	 4.20	 0.25	 0.491	 0.009	 3.41	 0.52	 0.75	 26	 2
J0302-3209	 4.51	 2.75	 0.322	 0.007	 3.72	 0.63	 0.81	 55	 2
J0303-2736	 4.76	 0.75	 0.268	 0.006	 4.26	 0.72	 0.92	 75	 5
J0305-2441	 4.44	 1.25	 0.372	 0.010	 3.94	 0.66	 0.88	 67	 4
J0308-2915	 4.69	 1.00	 1.010	 0.050	 3.39	 0.55	 0.74	 50	 5
J0308-2947	 4.57	 0.75	 0.900	 0.020	 3.16	 0.54	 0.70	 40	 4
J0312-2025	 4.36	 0.50	 0.680	 0.020	 3.60	 0.56	 0.79	 49	 4
J0314-2453	 4.26	 0.25	 0.410	 0.010	 3.83	 0.60	 0.85	 71	 4
J0316-2046	 4.89	 2.25	 0.236	 0.004	 4.39	 0.77	 0.93	 66	 3
J0317-3027	 4.18	 2.25	 0.710	 0.020	 3.18	 0.46	 0.69	 56	 4
J0318-2844	 4.39	 0.25	 0.920	 0.020	 3.35	 0.54	 0.74	 20	 4
J0322-2500	 4.26	 0.50	 0.410	 0.010	 3.84	 0.61	 0.83	 38	 3
J0329-3629	 4.04	 1.75	 0.361	 0.009	 3.44	 0.53	 0.77	 50	 4
J0330-3912	 4.56	 0.50	 0.543	 0.007	 3.52	 0.58	 0.77	 64	 3
J0330-2948	 4.45	 0.25	 0.860	 0.020	 3.42	 0.56	 0.76	 35	 4
J0336-3012	 4.90	 0.25	 1.030	 0.080	 3.47	 0.61	 0.76	 33	 5
J0336-3144	 4.24	 0.50	 0.420	 0.010	 3.48	 0.55	 0.78	122	 5
J0338-3742	 4.87	 1.75	 0.475	 0.008	 3.76	 0.66	 0.81	 38	 3
J0339-3952	 4.64	 0.25	 1.240	 0.070	 2.88	 0.47	 0.63	   	
J0339-2205	 4.43	 2.50	 0.256	 0.005	 4.09	 0.67	 0.90	 56	 4
J0340-2855	 4.17	 0.50	 0.326	 0.008	 3.84	 0.61	 0.86	 23	 3
J0340-2823	 4.28	 1.00	 0.350	 0.009	 3.90	 0.63	 0.87	 48	 3
J0340-2805	 4.02	 0.25	 0.462	 0.009	 3.65	 0.56	 0.81	 33	 3
J0346-2127	 4.71	 0.50	 0.690	 0.010	 3.74	 0.66	 0.83	 59	 5
J0350-3801	 4.35	 0.75	 0.380	 0.010	 3.59	 0.60	 0.80	 58	 4
J0356-3602	 4.41	 0.25	 0.770	 0.010	 3.22	 0.51	 0.71	 59	 7
J0359-3011	 4.64	 0.25	 0.113	 0.005	 4.48	 0.78	 0.98	 33	 3
J0400-2914	 4.82	 0.25	 0.790	 0.010	 3.81	 0.67	 0.82	 92	 7
J0413-2748	 4.18	 0.25	 0.610	 0.010	 3.65	 0.59	 0.80	 42	 3
J0418-3504	 4.04	 0.25	 0.294	 0.008	 3.87	 0.59	 0.87	 27	 2
J0420-3837	 4.21	 0.50	 0.349	 0.009	 3.92	 0.60	 0.87	 39	 3
J0420-2710	 4.15	 1.25	 0.440	 0.010	 3.85	 0.60	 0.85	 54	 3
J0421-2753	 4.24	 0.25	 0.611	 0.010	 3.68	 0.58	 0.82	 48	 3
J0421-2022	 4.63	 0.75	 0.389	 0.010	 4.16	 0.73	 0.93	141	 4
J0423-3644	 4.38	 0.25	 0.541	 0.006	 3.76	 0.64	 0.85	 80	 4
J0426-3648	 4.00	 1.25	 0.400	 0.010	 3.77	 0.56	 0.81	 48	 4
J0427-2441	 4.59	 1.75	 0.410	 0.010	 4.11	 0.72	 0.90	 51	 3
J0428-3002	 4.11	 1.00	 0.980	 0.030	 3.21	 0.46	 0.70	 49	 6
J0428-3014	 4.60	 0.75	 0.930	 0.020	 3.51	 0.60	 0.77	 34	 7
J0433-3942	 4.11	 1.50	 0.339	 0.009	 3.86	 0.62	 0.87	 27	 3
J0434-2227	 4.13	 0.50	 0.880	 0.020	 3.37	 0.51	 0.75	 35	 4
J0437-2449	 4.95	 0.25	 1.010	 0.060	 3.63	 0.61	 0.78	 47	 5
J0438-2210	 4.25	 3.00	 0.095	 0.006	 4.25	 0.71	 0.95	 50	 4
J0440-3353	 4.34	 0.50	 0.514	 0.007	 3.80	 0.60	 0.84	 52	 3
J0441-3817	 4.16	 1.00	 0.222	 0.004	 4.00	 0.63	 0.90	 68	 5
J0445-2510	 4.12	 1.25	 0.585	 0.007	 3.67	 0.57	 0.82	 61	 4
J0445-1950	 4.46	 0.25	 0.420	 0.010	 4.01	 0.68	 0.90	 35	 3
J0448-3020	 4.17	 1.00	 0.750	 0.010	 3.47	 0.55	 0.76	 83	 5
J0448-2909	 4.93	 1.00	 0.299	 0.007	 4.49	 0.78	 0.93	 46	 4
J0448-2718	 4.10	 0.25	 0.390	 0.010	 3.87	 0.62	 0.86	 44	 4
J0453-3933	 4.60	 0.25	 0.525	 0.007	 3.93	 0.66	 0.85	 82	 7
J0453-3405	 4.70	 0.25	 1.210	 0.150	 3.22	 0.54	 0.72	   	
J0456-3836	 4.30	 1.25	 0.400	 0.010	 3.90	 0.63	 0.88	 54	 5
J0458-3710	 4.10	 1.25	 0.740	 0.010	 3.46	 0.52	 0.75	 70	 4
J0458-2706	 4.63	 0.50	 0.558	 0.006	 4.00	 0.67	 0.86	 79	 5
J0502-3104	 4.11	 1.00	 0.720	 0.020	 3.47	 0.53	 0.76	 54	 4
J0503-3553	 4.12	 0.75	 0.630	 0.010	 3.53	 0.54	 0.80	 85	 5
J0505-3335	 4.49	 0.25	 0.650	 0.010	 3.70	 0.63	 0.85	 50	 4
J0506-2551	 4.60	 0.50	 0.380	 0.010	 4.16	 0.71	 0.91	 61	 3
J0516-2749	 4.14	 0.25	 0.990	 0.030	 3.29	 0.47	 0.70	 21	 4
J0517-3221	 4.26	 2.00	 0.168	 0.005	 4.11	 0.68	 0.92	 27	 3
J0517-2037	 4.80	 0.25	 1.030	 0.090	 3.50	 0.62	 0.78	   	
J0519-3930	 4.06	 0.50	 0.400	 0.010	 3.77	 0.58	 0.86	 31	 3
J0520-2625	 4.31	 0.50	 0.276	 0.006	 4.11	 0.67	 0.92	 77	 4
J0521-2812	 4.93	 0.25	 0.598	 0.009	 4.10	 0.71	 0.89	 50	 4
J0524-2507	 4.22	 1.75	 0.740	 0.020	 3.56	 0.54	 0.78	 45	 4
J0528-3328	 4.36	 1.00	 0.430	 0.010	 3.89	 0.65	 0.86	 22	 5
J0533-3713	 4.34	 0.25	 0.970	 0.020	 3.30	 0.52	 0.75	 42	 6
J0536-3055	 4.13	 3.00	 0.750	 0.020	 3.45	 0.52	 0.75	 25	 4
J0536-3946	 4.67	 0.50	 0.266	 0.005	 4.26	 0.73	 0.93	 80	 4
J0538-2924	 4.81	 0.25	 0.356	 0.009	 4.33	 0.76	 0.93	 39	 3
J0538-2540	 4.45	 1.25	 0.609	 0.010	 3.78	 0.61	 0.85	 48	 4
J0543-3210	 4.24	 1.00	 0.980	 0.030	 3.27	 0.49	 0.72	 35	 5
J0544-2842	 4.02	 0.75	 0.493	 0.008	 3.73	 0.55	 0.83	 44	 3
J0546-3139	 4.48	 0.25	 0.760	 0.010	 3.60	 0.60	 0.79	 81	 5
J0546-2013	 4.81	 0.50	 0.584	 0.007	 4.02	 0.70	 0.87	100	 5
J0546-4017	 4.62	 0.75	 0.440	 0.010	 4.03	 0.70	 0.89	 19	 3
J0547-2916	 4.69	 2.50	 0.430	 0.010	 4.15	 0.72	 0.91	 47	 4
J0552-4008	 4.36	 2.00	 0.363	 0.009	 3.95	 0.65	 0.90	 66	 5
J0554-3149	 4.62	 0.25	 0.218	 0.005	 4.29	 0.73	 0.94	 21	 3
J0556-2502	 4.13	 0.25	 0.620	 0.010	 3.64	 0.54	 0.81	 20	 3
J0557-2626	 4.01	 0.75	 0.598	 0.009	 3.62	 0.54	 0.80	 45	 4
J0559-2628	 4.09	 1.25	 0.275	 0.006	 3.98	 0.62	 0.89	 91	 4
J1015-2604	 4.60	 0.75	 0.380	 0.040	 4.76	 0.83	 1.03	   	
J1022-2337	 4.37	 0.25	 0.410	 0.040	 4.57	 0.78	 1.00	   	
J1025-2041	 4.19	 2.00	 0.310	 0.020	 4.61	 0.74	 1.01	   	
J1039-2609	 4.58	 0.75	 0.410	 0.040	 4.70	 0.76	 1.03	   	
J1042-2142	 4.62	 1.25	 0.470	 0.050	 4.67	 0.81	 1.00	   	
J1042-2012	 4.64	 0.25	 0.330	 0.050	 4.87	 0.81	 1.05	   	
J1113-2214	 4.63	 0.25	 0.460	 0.040	 4.68	 0.81	 1.02	   	
J1126-2046	 4.77	 2.50	 0.640	 0.040	 4.51	 0.81	 1.00	   	
J1141-2127	 4.83	 1.50	 0.300	 0.020	 5.01	 0.90	 1.08	   	
J1204-2814	 4.65	 0.25	 0.141	      	 4.29	 0.76	 0.93	   	
J1217-2928	 4.66	 1.00	 0.200	 0.030	 4.26	 0.76	 0.93	   	
J1239-2915	 4.61	 1.75	 0.650	 0.040	 3.73	 0.63	 0.82	   	
J1251-2230	 4.38	 0.75	 0.045	      	 4.22	 0.71	 0.94	   	
J1251-2308	 4.47	 0.25	 0.290	 0.050	 4.06	 0.69	 0.90	   	
J1252-2711	 4.59	 0.50	 0.430	 0.040	 3.97	 0.68	 0.88	   	
J1254-2408	 4.40	 0.25	 0.650	 0.040	 3.62	 0.60	 0.80	   	
J1259-2129	 4.83	 0.25	 0.650	 0.060	 3.85	 0.67	 0.84	   	
J1309-2244	 4.75	 0.75	 0.350	 0.040	 4.14	 0.73	 0.91	   	
J1312-2505	 4.40	 0.25	 0.630	 0.040	 3.66	 0.58	 0.81	   	
J1332-2017	 4.77	 0.25	 0.550	 0.050	 3.92	 0.69	 0.86	   	
J1341-2346	 4.86	 0.50	 0.210	 0.040	 4.39	 0.77	 0.94	   	
J2159-2846	 4.72	 2.00	 0.430	 0.040	 4.24	 0.70	 0.92	   	
J2204-2515	 4.43	 1.75	 0.213	      	 4.30	 0.73	 0.94	   	
J2213-2806	 4.89	 0.50	 0.750	 0.050	 3.94	 0.71	 0.85	   	
J2218-3227	 4.66	 0.25	 0.970	 0.140	 3.62	 0.62	 0.81	   	
J2219-2809	 4.61	 0.25	 0.180	 0.050	 4.44	 0.77	 0.96	   	
J2236-2458	 4.82	 1.25	 0.320	 0.050	 4.42	 0.78	 0.94	   	
J2238-2452	 4.61	 1.25	 0.440	 0.040	 4.14	 0.70	 0.91	   	
J2238-2458	 4.76	 0.75	 0.218	      	 4.49	 0.79	 0.96	   	
J2251-2037	 4.66	 0.25	 0.800	 0.200	 3.74	 0.64	 0.82	   	
J2259-2615	 4.32	 1.25	 0.680	 0.040	 3.66	 0.59	 0.84	   	
J2305-2451	 4.56	 0.50	 0.480	 0.050	 4.06	 0.69	 0.90	   	
J2312-2130	 4.88	 1.00	 0.109	      	 4.70	 0.85	 0.99	   	
J2326-2255	 4.71	 0.50	 0.830	 0.060	 3.73	 0.65	 0.82	   	
J2331-2033	 4.44	 0.25	 0.149	      	 4.38	 0.74	 0.95	   	
J2352-2525	 4.53	 1.50	 0.420	 0.050	 4.10	 0.71	 0.90	   	
J2353-2547	 4.60	 1.00	 0.480	 0.040	 4.08	 0.73	 0.90	   	
