FC25_Name,FBref_Name,Match_Score,Position,Alternative_Positions,Team,Age,OVR
Ali Ahmed,Ali Ahmed,1.0,CM,RM,Whitecaps FC,23,64
Noah Allen,Noah Allen,1.0,LB,CB,Inter Miami CF,20,64
Josh Atencio,Joshua Atencio,0.9230769230769231,CDM,"CM, CB",Sounders FC,22,64
Ethan Bartlow,Ethan Bartlow,1.0,CB,,Houston Dynamo,24,64
Tanner Beason,Tanner Beason,1.0,CB,LB,SJ Earthquakes,27,64
Ben Bender,Ben Bender,1.0,CAM,"LM, CM",Charlotte FC,23,64
Miguel Berry,Miguel Berry,1.0,ST,,LA Galaxy,26,64
Sebastian Breza,Sebastian Breza,1.0,GK,,CF Montréal,26,64
Teal Bunbury,Teal Bunbury,1.0,ST,"LM, RM",Nashville SC,34,64
Kévin Cabral,Kevin Cabral,1.0,LM,"ST, RM, LW",Colorado Rapids,25,64
Wikelman Carmona,Wikelman Carmona,1.0,RM,"CAM, LW, RW",Red Bulls,21,64
Patrickson Delgado,Patrickson Delgado,1.0,CM,CDM,FC Dallas,20,64
Griffin Dorsey,Griffin Dorsey,1.0,RB,RM,Houston Dynamo,25,64
Jon Gallagher,Jon Gallagher,1.0,RB,"LB, RM",Austin FC,28,64
Luka Gavran,Luka Gavran,1.0,GK,,Toronto FC,24,64
Nicholas Hagen,Nicholas Hagen,1.0,GK,,Columbus Crew,28,64
Ronald Hernández,Ronald Hernández,1.0,RB,RM,Atlanta United,26,64
Brendan Hines-Ike,Brendan Hines-Ike,1.0,CB,,Austin FC,29,64
Sunusi Ibrahim,Sunusi Ibrahim,1.0,ST,CAM,CF Montréal,21,64
Aziel Jackson,Aziel Jackson,1.0,CAM,RM,Columbus Crew,22,64
Bernard Kamungo,Bernard Kamungo,1.0,RM,"RW, LM",FC Dallas,22,64
Benji Kikanović,Benjamin Kikanovic,0.9090909090909091,LM,"LW, ST",SJ Earthquakes,24,64
Žan Kolmanič,Žan Kolmanič,1.0,LB,,Austin FC,24,64
Theodore Ku-DiPietro,Theodore Ku-Dipietro,1.0,LM,"CAM, ST, LW",D.C. United,22,64
Felipe,Felipe Carballo,0.95,CDM,CM,Orlando City,33,64
Jimmy Maurer,Jimmy Maurer,1.0,GK,,FC Dallas,35,64
Christopher McVey,Christopher McVey,1.0,CB,"LB, RB",D.C. United,27,64
Eric Miller,Eric Miller,1.0,RB,"CB, LB",Portland Timbers,31,64
Dylan Nealis,Dylan Nealis,1.0,RB,"CB, RM",Red Bulls,26,64
Matti Peltola,Matti Peltola,1.0,CDM,CB,D.C. United,22,64
Nikola Petkovic,Nikola Petković,1.0,CDM,,Charlotte FC,21,64
John Pulskamp,John Pulskamp,1.0,GK,,Sporting KC,23,64
Joseph Rosales,Joseph Rosales,1.0,LB,"LM, CDM",Minnesota United,23,64
Sigurd Rosted,Sigurd Rosted,1.0,CB,,Toronto FC,30,64
David Ruiz,David Ruíz,1.0,CM,"CDM, RB",Inter Miami CF,20,64
Rodrigo Schlegel,Rodrigo Schlegel,1.0,CB,,Orlando City,27,64
Amar Sejdič,Amar Sejdic,1.0,CM,"CAM, CDM",Nashville SC,27,64
Brandon Servania,Brandon Servania,1.0,CDM,"CM, RM",Toronto FC,25,64
Jack Skahan,Jack Skahan,1.0,CM,,SJ Earthquakes,26,64
Brad Smith,Brad Smith,1.0,LM,"LB, LW",Houston Dynamo,30,64
Daniel Steres,Daniel Steres,1.0,LB,"RB, CB",Houston Dynamo,33,64
Peter Stroud,Peter Stroud,1.0,CDM,"CM, RM",Red Bulls,22,64
Iuri Tavares,Iuri Tavares,1.0,LW,"LM, RM",Charlotte FC,23,64
Dagur Dan Þór­halls­son,Dagur Dan Þórhallsson,0.9545454545454546,RB,CM,Orlando City,24,64
Tomas Totland,Tomas Totland,1.0,RB,LB,St. Louis CITY SC,25,64
Obed Vargas,Obed Vargas,1.0,CM,"CDM, RM",Sounders FC,19,64
Owen Wolff,Owen Wolff,1.0,CDM,"CM, RM",Austin FC,19,64
Joshua Yaro,Joshua Yaro,1.0,CB,,St. Louis CITY SC,30,64
William Agada,William Agada,1.0,ST,LW,Sporting KC,24,63
Brian Anunga,Brian Anunga,1.0,CDM,CM,Nashville SC,28,63
Monsef Bakrar,Monsef Bakrar,1.0,ST,,New York City FC,23,63
Luis Barraza,Luis Barraza,1.0,GK,,New York City FC,27,63
Sebastian Berhalter,Sebastian Berhalter,1.0,CM,CDM,Whitecaps FC,23,63
Ousseni Bouda,Ousseni Bouda,1.0,LM,"RM, LW",SJ Earthquakes,24,63
Evan Bush,Evan Bush,1.0,GK,,Columbus Crew,38,63
Earl Edwards Jr.,Earl Edwards Jr.,1.0,GK,,New England,32,63
Kobe Franklin,Kobe Franklin,1.0,RB,LB,Toronto FC,21,63
Jake Girdwood-Reich,Jake Girdwood-Reich,1.0,CB,CDM,St. Louis CITY SC,20,63
Omar Gonzalez,Omar Gonzalez,1.0,CB,,FC Dallas,35,63
Belal Halbouni,Belal Halbouni,1.0,CB,,Whitecaps FC,24,63
Thomas Hasal,Thomas Hasal,1.0,GK,,LAFC,25,63
Mitja Ilenič,Mitja Ilenič,1.0,RB,RM,New York City FC,19,63
Sam Junqua,Sam Junqua,1.0,LB,"CB, LM",FC Dallas,27,63
Nelson Quiñónes,Nelson Quiñones,1.0,LM,"RM, LW",Houston Dynamo,22,63
Ryan Sailor,Ryan Sailor,1.0,CB,,Inter Miami CF,26,63
Quinn Sullivan,Quinn Sullivan,1.0,ST,CM,Philadelphia,20,63
Andrew Tarbell,Andrew Tarbell,1.0,GK,,Houston Dynamo,30,63
Zorhan Bassong,Zorhan Bassong,1.0,LB,"CB, CM",Sporting KC,25,62
Bode Hidalgo,Bode Hidalgo,1.0,RB,,Real Salt Lake,22,62
Preston Judd,Preston Judd,1.0,ST,,SJ Earthquakes,25,62
Lukas MacNaughton,Lukas MacNaughton,1.0,CB,,Nashville SC,29,62
Kevin O'Toole,Kevin O'Toole,1.0,LB,LM,New York City FC,25,62
Wyatt Omsberg,Wyatt Omsberg,1.0,CB,,Chicago Fire FC,28,62
Luca Petrasso,Luca Petrasso,1.0,LB,LM,Orlando City,24,62
Jacen Russell-Rowe,Jacen Russell-Rowe,1.0,ST,CAM,Columbus Crew,22,62
Khiry Shelton,Khiry Shelton,1.0,ST,"RW, LW",Sporting KC,31,62
Tyrese Spicer,Tyrese Spicer,1.0,LW,LM,Toronto FC,23,62
Akil Watts,Akil Watts,1.0,RB,CDM,St. Louis CITY SC,24,62
Eriq Zavaleta,Eriq Zavaleta,1.0,CB,,LA Galaxy,32,62
Fernando Álvarez,Fernando Álvarez,1.0,CB,,CF Montréal,21,61
Tom Barlow,Tom Barlow,1.0,ST,,Chicago Fire FC,29,61
Yannick Bright,Yannick Bright,1.0,CDM,CM,Inter Miami CF,23,61
Alonso Coello,Alonso Coello,1.0,CM,CAM,Toronto FC,24,61
Jonathan Dean,Jonathan Dean,1.0,LB,LM,Chicago Fire FC,27,61
CJ dos Santos,C.J. dos Santos,0.9629629629629629,GK,,Inter Miami CF,24,61
Dennis Gjengaar,Dennis Gjengaar,1.0,RM,RW,Red Bulls,20,61
Nicksoen Gomis,Nicksoen Gomis,1.0,CB,,Toronto FC,22,61
Deandre Kerr,Deandre Kerr,1.0,ST,"RM, CM",Toronto FC,21,61
Jahkeele Marshall-Rutty,Jahkeele Marshall-Rutty,1.0,RB,"RM, LM",CF Montréal,20,61
Tsiki Ntsabeleng,Tsiki Ntsabeleng,1.0,CM,,FC Dallas,26,61
Devin Padelford,Devin Padelford,1.0,CB,LB,Minnesota United,21,61
Tate Schmitt,Tate Schmitt,1.0,LB,LM,Houston Dynamo,27,61
Kosi Thompson,Kosi Thompson,1.0,RB,"RM, CM",Toronto FC,21,61
Niko Tsakiris,Niko Tsakiris,1.0,CAM,CM,SJ Earthquakes,19,61
Robert Voloder,Robert Voloder,1.0,CB,LB,Sporting KC,23,61
Josh Bauer,Josh Bauer,1.0,CB,,Nashville SC,26,60
Simon Becher,Simon Becher,1.0,ST,,St. Louis CITY SC,25,60
Giuseppe Bovalina,Giuseppe Bovalina,1.0,RB,,Whitecaps FC,19,60
Justin Haak,Justin Haak,1.0,CB,"CDM, CM",New York City FC,23,60
Jacob Jackson,Jacob Jackson,1.0,GK,,SJ Earthquakes,24,60
Evan Louro,Evan Louro,1.0,GK,,FC Cincinnati,28,60
Anthony Markanich,Anthony Markanich,1.0,LB,LM,Minnesota United,24,60
Ralph Priso,Ralph Priso-Mbongue,0.95,CDM,CM,Whitecaps FC,22,60
Tomás Romero,Tomas Romero,1.0,GK,,New York City FC,23,60
Dante Sealy,Dante Sealy,1.0,LM,"RM, LW",FC Dallas,21,60
Tyger Smalls,Tyger Smalls,1.0,RW,"LW, RM",Charlotte FC,22,60
Garrison Tubbs,Garrison Tubbs,1.0,CB,,D.C. United,22,60
Darren Yapi,Darren Yapi,1.0,ST,,Colorado Rapids,19,60
Reed Baker-Whiting,Reed Baker-Whiting,1.0,RB,"LB, LM",Sounders FC,19,59
Erik Dueñas,Erik Duenas,1.0,CM,RB,LAFC,19,59
Ian Fray,Ian Fray,1.0,CB,,Inter Miami CF,22,59
Novak Mićović,Novak Mićović,1.0,GK,,LA Galaxy,22,59
Shakur Mohammed,Shakur Mohammed,1.0,LM,"CAM, LW",Orlando City,21,59
Efraín Morales,Efrain Morales,1.0,CB,,Atlanta United,20,59
Daniel Munie,Daniel Munie,1.0,LB,,SJ Earthquakes,24,59
Tani Oluwaseyi,Tani Oluwaseyi,1.0,ST,RW,Minnesota United,24,59
Philip Quinton,Philip Quinton,1.0,CB,,Real Salt Lake,24,59
Braudilio Rodrigues,Rodrigues,0.95,LW,"CAM, RW, LM",Sounders FC,24,59
Jules-Anthony Vilsaint,Jules-Anthony Vilsaint,1.0,ST,,CF Montréal,21,59
Cody Baker,Cody Baker,1.0,RB,LB,Sounders FC,20,58
Luke Brennan,Luke Brennan,1.0,LW,"RW, LM",Atlanta United,19,58
Noah Cobb,Noah Cobb,1.0,CB,,Atlanta United,19,58
Ronald Donkor,Ronald Donkor,1.0,CM,CDM,Red Bulls,19,58
Serge Ngoma,Serge Ngoma,1.0,RM,"ST, RW",Red Bulls,19,58
Jayden Reid,Jayden Reid,1.0,LB,LM,St. Louis CITY SC,23,58
Strahinja Tanasijević,Strahinja Tanasijević,1.0,CB,,New York City FC,27,58
Andrew Thomas,Andrew Thomas,1.0,GK,,Sounders FC,26,58
Stephen Afrifa,Stephen Afrifa,1.0,ST,,Sporting KC,23,57
Brandon Cambridge,Brandon Cambridge,1.0,CM,,Charlotte FC,22,57
Mauricio Cuevas,Mauricio Cuevas,1.0,RB,,LA Galaxy,21,57
Ajani Fortune,Ajani Fortune,1.0,CM,,Atlanta United,21,57
Calvin Harris,Calvin Harris,1.0,LM,"RM, ST, LW",Colorado Rapids,24,57
Malik Henry-Scott,Malik Henry,0.95,ST,,FC Dallas,22,57
Oliver Larraz,Oliver Larraz,1.0,CDM,,Colorado Rapids,22,57
Santiago Morales,Santi Morales,0.896551724137931,CAM,,Inter Miami CF,17,57
Jacob Murrell,Jacob Murrell,1.0,ST,,D.C. United,20,57
Nathan Ordaz,Nathan Ordaz,1.0,ST,,LAFC,20,57
Paul Rothrock,Paul Rothrock,1.0,RM,"LW, RW",Sounders FC,25,57
Kristian Fletcher,Kristian Fletcher,1.0,LM,LW,D.C. United,19,56
Carlos Harvey,Carlos Harvey,1.0,CDM,,Minnesota United,24,56
Jackson Hopkins,Jackson Hopkins,1.0,CAM,CM,D.C. United,20,56
Jack Neeley,Jack Neeley,1.0,CB,,Charlotte FC,19,56
Logan Farrington,Logan Farrington,1.0,ST,,FC Dallas,22,55
Julian Gaines,Julian Gaines,1.0,RB,,Nashville SC,21,55
Tucker Lepley,Tucker Lepley,1.0,RW,RM,LA Galaxy,22,55
Nolan Norris,Nolan Norris,1.0,CM,CDM,FC Dallas,19,55
Javier Otero,Javier Otero,1.0,GK,,Orlando City,21,55
Isaiah Parente,Isaiah Parente,1.0,CAM,,LA Galaxy,24,55
Conner Antley,Conner Antley,1.0,LB,CB,D.C. United,29,54
Michael Edwards,Michael Edwards,1.0,CB,,Colorado Rapids,23,54
Taha Habroune,Taha Habroune,1.0,CAM,CM,Columbus Crew,18,54
Jeremy Rafanello,Jeremy Rafanello,1.0,ST,LW,Philadelphia,24,54
Brooklyn Raines,Brooklyn Raines,1.0,CM,RW,Houston Dynamo,19,54
Justin Reynolds,Justin Reynolds,1.0,RB,,Chicago Fire FC,20,54
Adam Beaudry,Adam Beaudry,1.0,GK,,Colorado Rapids,18,53
Noel Caliskan,Noel Caliskan,1.0,CM,,Real Salt Lake,24,53
Bret Halsey,Bret Halsey,1.0,RB,CM,FC Cincinnati,24,53
Stuart Hawkins,Stuart Hawkins,1.0,CB,,Sounders FC,17,53
Chris Rindov,Chris Rindov,1.0,CB,,Sporting KC,22,53
Jackson Travis,Jackson Travis,1.0,LB,,Colorado Rapids,20,53
Thomas Williams,Thomas Williams,1.0,CB,LB,Orlando City,20,53
CJ Fodrey,CJ Fodrey,1.0,ST,LW,Austin FC,20,52
Tarik Scott,Tarik Scott,1.0,LM,"RM, LW",FC Dallas,19,52
Gerardo Valenzuela,Gerardo Valenzuela,1.0,CAM,"ST, CM",FC Cincinnati,19,52
Forster Ajago,Forster Ajago,1.0,ST,,Nashville SC,23,51
Wayne Frederick,Wayne Frederick,1.0,CAM,,Colorado Rapids,20,51
Kimani Stewart-Baynes,Kimani Stewart-Baynes,1.0,ST,,Colorado Rapids,19,51
Stiven Jimenez,Stiven Jimenez,1.0,RB,CDM,FC Cincinnati,17,50
Olwethu Makhanya,Olwethu Makhanya,1.0,CB,,Philadelphia,20,50
Sergio Oregel,Sergio Oregel,1.0,CM,,Chicago Fire FC,19,50
Jaziel Orozco,Jaziel Orozco,1.0,CB,,Real Salt Lake,20,50
Jonathan Shore,Jonathan Shore,1.0,CM,,New York City FC,17,50
Zavier Gozo,Zavier Gozo,1.0,RW,"ST, RM",Real Salt Lake,17,49
David Vazquez,David Vazquez,1.0,LW,LM,Philadelphia,18,49
Markus Anderson,Markus Anderson,1.0,LW,LM,Philadelphia,20,48
