0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
120,Brandt Bronico,us USA,MF,Charlotte,28,1995,19.3,0.05,1.04,0.21,20.0,1.04,0.21,0.05,0.25,16.3,0.00,0.00,0.00,0.11,0.11,0.10,-0.06,-0.06,Matches
121,Lachlan Brook,au AUS,FW,Real Salt Lake,22,2001,2.6,0.00,5.00,3.08,61.5,5.00,3.08,0.00,0.00,20.4,0.00,0.00,0.00,0.31,0.31,0.06,-0.31,-0.31,Matches
122,Javain Brown,jm JAM,DF,Vancouver W'caps,24,1999,10.8,0.00,0.83,0.37,44.4,0.84,0.37,0.00,0.00,11.0,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
123,Javain Brown,jm JAM,DF,Real Salt Lake,24,1999,3.7,0.00,0.27,0.00,0.0,0.27,0.00,0.00,,26.8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
124,Gastón Brugman,uy URU,MF,LA Galaxy,31,1992,13.2,0.00,1.52,0.45,30.0,1.52,0.46,0.00,0.00,24.7,0.30,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches
125,Pavel Bucha,cz CZE,MF,FC Cincinnati,25,1998,32.4,0.12,1.33,0.34,25.6,1.33,0.34,0.09,0.36,20.1,0.00,0.00,0.00,0.09,0.09,0.07,0.03,0.03,Matches
126,Noel Buck,eng ENG,"MF,FW",NE Revolution,18,2005,6.0,0.17,0.67,0.33,50.0,0.67,0.34,0.25,0.50,18.0,0.00,0.00,0.00,0.07,0.07,0.09,0.10,0.10,Matches
127,Dawid Bugaj,pl POL,DF,CF Montréal,19,2004,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
128,Osman Bukari,gh GHA,"FW,MF",Austin,25,1998,6.8,0.15,1.47,0.44,30.0,1.47,0.44,0.10,0.33,17.9,0.00,0.00,0.00,0.21,0.21,0.14,-0.06,-0.06,Matches
129,Teal Bunbury,us USA,FW,Nashville SC,33,1990,12.8,0.23,1.48,0.31,21.1,1.49,0.31,0.05,0.25,14.1,0.00,0.16,0.16,0.27,0.15,0.10,-0.04,-0.07,Matches
130,Cory Burke,jm JAM,FW,NY Red Bulls,32,1991,3.3,0.30,3.03,1.21,40.0,3.02,1.21,0.10,0.25,14.6,0.00,0.00,0.00,0.58,0.58,0.19,-0.27,-0.27,Matches
131,Roman Bürki,ch SUI,GK,St. Louis,33,1990,31.3,0.00,0.03,0.00,0.0,0.03,0.00,0.00,,39.2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
132,Evan Bush,us USA,GK,Columbus Crew,37,1986,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
133,Sergio Busquets,es ESP,"MF,DF",Inter Miami,35,1988,27.6,0.04,0.07,0.07,100.0,0.07,0.07,0.50,0.50,8.8,0.00,0.00,0.00,0.01,0.01,0.13,0.03,0.03,Matches
134,Brandon Bye,us USA,DF,NE Revolution,28,1995,8.7,0.11,0.57,0.11,20.0,0.57,0.11,0.20,1.00,15.2,0.00,0.00,0.00,0.05,0.05,0.08,0.07,0.07,Matches
135,Nathan Byrne,eng ENG,DF,Charlotte,31,1992,31.0,0.00,0.13,0.03,25.0,0.13,0.03,0.00,0.00,26.6,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
136,Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,24,1999,14.5,0.34,2.28,0.97,42.4,2.27,0.96,0.15,0.36,13.1,0.00,0.00,0.00,0.45,0.45,0.20,-0.10,-0.10,Matches
137,Martín Cáceres,uy URU,DF,LA Galaxy,36,1987,11.9,0.00,0.34,0.25,75.0,0.34,0.25,0.00,0.00,10.7,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
138,Deiber Caicedo,co COL,"FW,DF",Vancouver W'caps,23,2000,1.4,0.00,5.71,1.43,25.0,5.71,1.43,0.00,0.00,17.8,0.71,0.00,0.00,0.57,0.57,0.10,-0.57,-0.57,Matches
139,Noel Caliskan,de GER,MF,Real Salt Lake,23,2000,2.2,0.00,0.45,0.00,0.0,0.45,0.00,0.00,,22.3,0.00,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches
140,Drake Callender,us USA,GK,Inter Miami,26,1997,32.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
141,Rudy Camacho,fr FRA,DF,Columbus Crew,32,1991,25.7,0.04,0.31,0.08,25.0,0.31,0.08,0.13,0.50,11.8,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.02,Matches
142,Brandon Cambridge,us USA,FW,Charlotte,21,2002,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
143,Leonardo Campana,ec ECU,FW,Inter Miami,23,2000,14.2,0.56,2.46,1.20,48.6,2.46,1.20,0.23,0.47,13.9,0.14,0.00,0.00,0.46,0.46,0.19,0.10,0.10,Matches
144,George Campbell,us USA,DF,CF Montréal,22,2001,24.4,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,14.4,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
145,Omar Campos,mx MEX,"DF,MF",LAFC,21,2002,17.9,0.00,0.45,0.11,25.0,0.45,0.11,0.00,0.00,23.3,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
146,Reggie Cannon,us USA,DF,Colorado Rapids,25,1998,3.8,0.26,0.79,0.26,33.3,0.79,0.26,0.33,1.00,15.6,0.00,0.00,0.00,0.05,0.05,0.06,0.21,0.21,Matches
147,Russell Canouse,us USA,"MF,DF",D.C. United,28,1995,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
148,Felipe Carballo,uy URU,MF,NY Red Bulls,27,1996,5.0,0.00,1.20,0.40,33.3,1.20,0.40,0.00,0.00,13.3,0.00,0.00,0.00,0.16,0.16,0.13,-0.16,-0.16,Matches
149,Nathan Cardoso,br BRA,DF,Seattle Sounders,28,1995,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
150,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,20,2003,17.7,0.17,2.09,0.85,40.5,2.09,0.85,0.08,0.20,22.3,0.00,0.00,0.00,0.12,0.12,0.06,0.05,0.05,Matches
151,Julián Carranza,ar ARG,FW,Philadelphia Union,23,2000,11.9,0.50,3.78,1.26,33.3,3.77,1.26,0.13,0.40,13.5,0.08,0.00,0.00,0.50,0.50,0.13,0.01,0.01,Matches
152,Adalberto Carrasquilla,pa PAN,"FW,MF",Houston Dynamo,25,1998,25.5,0.12,1.25,0.51,40.6,1.26,0.51,0.09,0.23,21.4,0.00,0.00,0.00,0.06,0.06,0.05,0.05,0.05,Matches
153,Wilder Cartagena,pe PER,"MF,DF",Orlando City,29,1994,24.4,0.00,0.94,0.29,30.4,0.94,0.29,0.00,0.00,21.4,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
154,Javier Casas,us USA,MF,Chicago Fire,20,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Julio Cascante,cr CRC,DF,Austin,30,1993,20.7,0.10,0.48,0.24,50.0,0.48,0.24,0.20,0.40,7.8,0.00,0.00,0.00,0.08,0.08,0.17,0.01,0.01,Matches
156,Robert Castellanos,us USA,DF,Sporting KC,25,1998,11.5,0.09,0.61,0.26,42.9,0.61,0.26,0.14,0.33,8.2,0.00,0.00,0.00,0.08,0.08,0.13,0.01,0.01,Matches
157,Roman Celentano,us USA,GK,FC Cincinnati,23,2000,30.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
158,Edwin Cerrillo,us USA,MF,LA Galaxy,23,2000,23.1,0.04,0.13,0.04,33.3,0.13,0.04,0.33,1.00,27.0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,Matches
159,Dylan Chambost,fr FRA,"MF,FW",Columbus Crew,26,1997,6.1,0.00,1.15,0.49,42.9,1.14,0.49,0.00,0.00,25.8,0.16,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
160,Tomás Chancalay,ar ARG,FW,NE Revolution,25,1999,10.3,0.19,4.37,1.46,33.3,4.36,1.45,0.04,0.13,19.6,0.00,0.00,0.00,0.31,0.31,0.07,-0.12,-0.12,Matches
161,Maikel Chang,cu CUB,"FW,MF",Real Salt Lake,32,1991,4.1,0.00,0.98,0.00,0.0,0.98,0.00,0.00,,14.7,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
162,Maxime Chanot,lu LUX,DF,LAFC,34,1989,14.8,0.00,0.95,0.07,7.1,0.95,0.07,0.00,0.00,13.0,0.00,0.00,0.00,0.09,0.09,0.10,-0.09,-0.09,Matches
163,Diego Chará,co COL,MF,Portland Timbers,37,1986,26.9,0.00,0.04,0.00,0.0,0.04,0.00,0.00,,25.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
164,Gabriel Chaves,br BRA,FW,LA Galaxy,22,2001,30.3,0.53,4.03,1.88,46.7,4.03,1.88,0.12,0.26,17.6,0.13,0.03,0.07,0.48,0.42,0.11,0.05,0.08,Matches
165,Yevhen Cheberko,ua UKR,DF,Columbus Crew,26,1998,18.8,0.05,0.32,0.05,16.7,0.32,0.05,0.17,1.00,14.0,0.00,0.00,0.00,0.02,0.02,0.07,0.03,0.03,Matches
166,Mathieu Choiniere,ca CAN,MF,CF Montréal,24,1999,16.6,0.12,0.60,0.12,20.0,0.60,0.12,0.10,0.50,24.7,0.00,0.06,0.06,0.08,0.03,0.05,0.04,0.03,Matches
167,Léo Chú,br BRA,"FW,MF",Seattle Sounders,23,2000,7.9,0.13,1.14,0.51,44.4,1.13,0.50,0.11,0.25,16.8,0.00,0.00,0.00,0.10,0.10,0.09,0.03,0.03,Matches
168,Caden Clark,us USA,"DF,FW",Minnesota Utd,20,2003,11.5,0.00,1.39,0.09,6.3,1.40,0.09,0.00,0.00,20.4,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
169,Caden Clark,us USA,MF,CF Montréal,20,2003,7.4,0.54,1.89,1.08,57.1,1.88,1.08,0.29,0.50,16.7,0.00,0.00,0.00,0.36,0.36,0.20,0.18,0.18,Matches
170,Steve Clark,us USA,GK,Houston Dynamo,37,1986,30.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
171,Noah Cobb,us USA,DF,Atlanta Utd,18,2005,15.0,0.00,0.13,0.07,50.0,0.13,0.07,0.00,0.00,7.1,0.00,0.00,0.00,0.03,0.03,0.22,-0.03,-0.03,Matches
172,Matías Cóccaro,uy URU,"FW,MF",CF Montréal,26,1997,10.0,0.40,2.60,1.10,42.3,2.59,1.10,0.08,0.18,16.4,0.00,0.20,0.20,0.44,0.28,0.11,-0.04,-0.08,Matches
173,Alonso Coello,es ESP,MF,Toronto FC,24,1999,17.0,0.06,0.47,0.24,50.0,0.47,0.24,0.13,0.25,17.0,0.00,0.00,0.00,0.02,0.02,0.05,0.04,0.04,Matches
174,Josh Cohen,us USA,GK,Atlanta Utd,31,1992,2.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
175,Enzo Copetti,ar ARG,FW,Charlotte,28,1996,5.5,0.18,1.45,1.09,75.0,1.45,1.09,0.13,0.17,11.4,0.00,0.00,0.00,0.31,0.31,0.21,-0.13,-0.13,Matches
176,Gabriele Corbo,it ITA,DF,CF Montréal,24,2000,19.2,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,26.3,0.05,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
177,Carlos Coronel,py PAR,GK,NY Red Bulls,27,1996,27.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
178,Vitor Costa,br BRA,DF,SJ Earthquakes,29,1994,23.3,0.09,0.86,0.13,15.0,0.86,0.13,0.10,0.67,16.8,0.00,0.00,0.00,0.08,0.08,0.10,0.00,0.00,Matches
179,Ben Cremaschi,us USA,MF,Inter Miami,18,2005,12.7,0.31,1.42,0.55,38.9,1.42,0.55,0.22,0.57,14.4,0.00,0.00,0.00,0.30,0.30,0.21,0.02,0.02,Matches
180,Maxime Crépeau,ca CAN,GK,Portland Timbers,29,1994,19.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
181,Matt Crooks,eng ENG,MF,Real Salt Lake,30,1994,20.9,0.14,1.15,0.38,33.3,1.15,0.38,0.13,0.38,13.5,0.00,0.00,0.00,0.17,0.17,0.15,-0.03,-0.03,Matches
182,Andrés Cubas,py PAR,MF,Vancouver W'caps,27,1996,21.5,0.00,0.28,0.05,16.7,0.28,0.05,0.00,0.00,28.0,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
183,Cucho,co COL,"FW,MF",Columbus Crew,24,1999,23.5,0.81,5.53,1.66,30.0,5.54,1.66,0.13,0.44,19.0,0.34,0.09,0.17,0.60,0.46,0.08,0.21,0.26,Matches
184,Mauricio Cuevas,us USA,"DF,FW",LA Galaxy,20,2003,3.7,0.27,1.08,0.27,25.0,1.09,0.27,0.25,1.00,19.8,0.00,0.00,0.00,0.11,0.11,0.11,0.16,0.16,Matches
185,Hugo Cuypers,be BEL,FW,Chicago Fire,26,1997,29.1,0.34,2.54,1.17,45.9,2.54,1.17,0.14,0.29,12.2,0.00,0.00,0.00,0.37,0.37,0.15,-0.03,-0.03,Matches
186,Rafael Czichos,de GER,DF,Chicago Fire,33,1990,26.0,0.04,0.46,0.12,25.0,0.46,0.12,0.08,0.33,11.6,0.00,0.00,0.00,0.05,0.05,0.11,-0.01,-0.01,Matches
187,Cristián Dajome,co COL,"DF,FW",D.C. United,30,1994,22.5,0.13,1.47,0.44,30.3,1.47,0.45,0.09,0.30,17.9,0.00,0.00,0.00,0.14,0.14,0.10,-0.01,-0.01,Matches
188,Dagur Dan Þórhallsson,is ISL,DF,Orlando City,23,2000,26.8,0.07,0.78,0.15,19.0,0.78,0.15,0.10,0.50,18.3,0.04,0.00,0.00,0.07,0.07,0.09,0.01,0.01,Matches
189,Daniel,br BRA,GK,SJ Earthquakes,29,1994,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
190,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,24,1999,6.9,0.43,1.88,0.72,38.5,1.87,0.72,0.23,0.60,16.8,0.00,0.00,0.00,0.32,0.32,0.17,0.12,0.12,Matches
191,Héctor David Martínez,py PAR,DF,Inter Miami,26,1998,3.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
192,Juan David Mosquera,co COL,DF,Portland Timbers,21,2002,30.9,0.03,0.65,0.19,30.0,0.65,0.19,0.05,0.17,17.7,0.00,0.00,0.00,0.04,0.04,0.06,-0.01,-0.01,Matches
193,Jesús David Murillo,co COL,DF,LAFC,29,1994,18.8,0.00,0.43,0.16,37.5,0.43,0.16,0.00,0.00,9.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
194,Jake Davis,us USA,"DF,MF",Sporting KC,22,2002,24.7,0.12,0.61,0.16,26.7,0.61,0.16,0.20,0.75,27.1,0.00,0.00,0.00,0.02,0.02,0.03,0.11,0.11,Matches
195,Sean Davis,us USA,MF,Nashville SC,30,1993,15.1,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,19.7,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
196,Pedro De la Vega,ar ARG,"FW,MF",Seattle Sounders,22,2001,7.2,0.14,1.81,0.42,23.1,1.79,0.41,0.00,0.00,20.8,0.14,0.14,0.14,0.25,0.14,0.08,-0.11,-0.14,Matches
197,Jonathan Dean,us USA,DF,Chicago Fire,26,1997,12.3,0.08,0.49,0.08,16.7,0.49,0.08,0.17,1.00,19.3,0.00,0.00,0.00,0.06,0.06,0.11,0.02,0.02,Matches
198,Brecht Dejaegere,be BEL,"FW,MF",Charlotte,32,1991,10.2,0.10,0.98,0.29,30.0,0.98,0.29,0.10,0.33,17.9,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,Matches
199,Marky Delgado,us USA,MF,LA Galaxy,28,1995,27.4,0.04,0.51,0.18,35.7,0.51,0.18,0.07,0.20,21.6,0.04,0.00,0.00,0.05,0.05,0.09,-0.01,-0.01,Matches
200,Patrickson Delgado,ec ECU,MF,FC Dallas,20,2003,12.9,0.31,1.32,0.54,41.2,1.32,0.54,0.24,0.57,23.6,0.00,0.00,0.00,0.12,0.12,0.10,0.19,0.19,Matches
201,Mikkel Desler,dk DEN,DF,Austin,28,1995,5.4,0.00,0.93,0.19,20.0,0.92,0.18,0.00,0.00,13.3,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,Matches
202,Lamine Diack,sn SEN,"FW,MF",Colorado Rapids,23,2000,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
203,Djibril Diani,fr FRA,MF,Charlotte,25,1998,19.8,0.05,0.56,0.05,9.1,0.56,0.05,0.00,0.00,17.1,0.00,0.05,0.05,0.09,0.05,0.09,-0.04,-0.05,Matches
204,Marcos Dias,br BRA,FW,NE Revolution,22,2001,0.0,0,1,0,0.0,22.50,0.00,0.00,,15.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
205,Jefferson Díaz,co COL,DF,Minnesota Utd,23,2000,8.9,0.00,0.56,0.00,0.0,0.56,0.00,0.00,,15.3,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
206,Ronald Donkor,ml MLI,"MF,DF",NY Red Bulls,19,2004,10.4,0.00,0.10,0.10,100.0,0.10,0.10,0.00,0.00,29.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
207,Christopher Donovan,us USA,"FW,MF",Philadelphia Union,23,2000,4.2,0.24,2.14,0.24,11.1,2.14,0.24,0.11,1.00,11.6,0.00,0.00,0.00,0.29,0.29,0.13,-0.05,-0.05,Matches
208,Griffin Dorsey,us USA,DF,Houston Dynamo,24,1999,29.5,0.10,1.29,0.34,26.3,1.29,0.34,0.08,0.30,16.6,0.00,0.00,0.00,0.07,0.07,0.05,0.03,0.03,Matches
209,C.J. dos Santos,us USA,GK,Inter Miami,23,2000,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
210,Hassani Dotson,us USA,MF,Minnesota Utd,26,1997,25.0,0.20,1.44,0.56,38.9,1.44,0.56,0.11,0.29,23.2,0.08,0.04,0.04,0.12,0.08,0.06,0.08,0.08,Matches
211,Sebastián Driussi,ar ARG,"MF,FW",Austin,27,1996,25.1,0.28,2.55,0.72,28.1,2.55,0.72,0.06,0.22,19.2,0.12,0.12,0.20,0.39,0.24,0.09,-0.11,-0.08,Matches
212,Erik Duenas,us USA,MF,LAFC,19,2004,4.3,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,10.6,0.00,0.00,0.00,0.02,0.02,0.11,-0.02,-0.02,Matches
213,Morris Duggan,de GER,DF,Minnesota Utd,23,2000,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
214,Bryce Duke,us USA,MF,CF Montréal,22,2001,23.8,0.13,1.39,0.50,36.4,1.38,0.50,0.09,0.25,21.6,0.13,0.00,0.00,0.10,0.10,0.07,0.03,0.03,Matches
215,Kyle Duncan,us USA,DF,NY Red Bulls,26,1997,14.3,0.07,0.77,0.28,36.4,0.77,0.28,0.09,0.25,24.0,0.00,0.00,0.00,0.03,0.03,0.04,0.04,0.04,Matches
216,Chris Durkin,us USA,MF,St. Louis,23,2000,25.1,0.04,1.08,0.28,25.9,1.08,0.28,0.04,0.14,21.2,0.00,0.00,0.00,0.05,0.05,0.05,-0.01,-0.01,Matches
217,Nikolas Dyhr,dk DEN,DF,St. Louis,22,2001,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
218,Jeremy Ebobisse,us USA,FW,SJ Earthquakes,26,1997,21.5,0.28,2.05,0.70,34.1,2.05,0.70,0.11,0.33,15.8,0.05,0.05,0.05,0.36,0.33,0.16,-0.08,-0.09,Matches
219,Daniel Edelman,us USA,MF,NY Red Bulls,20,2003,28.0,0.00,0.36,0.04,10.0,0.36,0.04,0.00,0.00,26.9,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
220,Earl Edwards Jr.,us USA,GK,NE Revolution,32,1992,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
221,Matthew Edwards,us USA,DF,Atlanta Utd,20,2003,0.0,0,1,0,0.0,45.00,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
222,Michael Edwards,us USA,DF,Colorado Rapids,23,2000,2.3,0.43,0.87,0.43,50.0,0.87,0.43,0.50,1.00,5.2,0.00,0.00,0.00,0.30,0.30,0.37,0.13,0.13,Matches
223,Raheem Edwards,ca CAN,"DF,MF",CF Montréal,28,1995,17.2,0.00,0.87,0.35,40.0,0.87,0.35,0.00,0.00,22.1,0.06,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
224,Noah Eile,se SWE,DF,NY Red Bulls,21,2002,26.9,0.00,0.48,0.19,38.5,0.48,0.19,0.00,0.00,17.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
225,Piero Elias,us USA,FW,NYCFC,21,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
226,Jack Elliott,eng ENG,DF,Philadelphia Union,28,1995,26.6,0.00,0.71,0.19,26.3,0.72,0.19,0.00,0.00,13.7,0.04,0.00,0.00,0.06,0.06,0.09,-0.06,-0.06,Matches
227,Herbert Endeley,us USA,"MF,DF",FC Dallas,22,2001,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
228,Emeka Eneli,us USA,MF,Real Salt Lake,24,1999,29.6,0.03,0.44,0.14,30.8,0.44,0.13,0.08,0.25,20.8,0.00,0.00,0.00,0.07,0.07,0.15,-0.03,-0.03,Matches
229,Lawrence Ennali,de GER,FW,Houston Dynamo,21,2002,0.5,2.00,2.00,2.00,100.0,1.84,1.84,1.00,1.00,5.2,0.00,0.00,0.00,2.00,2.00,0.95,0.00,0.00,Matches
230,Boris Enow,cm CMR,MF,D.C. United,23,2000,3.4,0.00,1.18,0.00,0.0,1.19,0.00,0.00,,30.3,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,Matches
231,Ramiro Enrique,ar ARG,FW,Orlando City,22,2001,12.0,0.67,3.00,1.42,47.2,2.99,1.41,0.22,0.47,12.7,0.00,0.00,0.00,0.58,0.58,0.19,0.09,0.09,Matches
232,Victor Enriquez,,MF,Portland Timbers,17,2006,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
233,Victor Eriksson,se SWE,DF,Minnesota Utd,23,2000,1.8,0.00,1.11,0.00,0.0,1.08,0.00,0.00,,12.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
234,Franco Escobar,ar ARG,DF,Houston Dynamo,28,1995,20.2,0.10,0.45,0.20,44.4,0.45,0.20,0.22,0.50,11.4,0.00,0.00,0.00,0.03,0.03,0.08,0.06,0.06,Matches
235,Cristian Espinoza,ar ARG,"FW,MF",SJ Earthquakes,28,1995,33.0,0.12,1.97,0.73,36.9,1.97,0.73,0.06,0.17,21.0,0.30,0.00,0.00,0.13,0.13,0.07,-0.01,-0.01,Matches
236,Derrick Etienne,ht HAI,"MF,FW",Toronto FC,27,1996,18.3,0.16,1.31,0.38,29.2,1.31,0.38,0.13,0.43,15.2,0.00,0.00,0.00,0.16,0.16,0.12,0.00,0.00,Matches
237,Derrick Etienne,ht HAI,"FW,MF",Atlanta Utd,27,1996,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
238,Evander,br BRA,MF,Portland Timbers,25,1998,27.3,0.55,3.41,1.39,40.9,3.40,1.39,0.13,0.32,23.2,0.92,0.11,0.11,0.36,0.27,0.08,0.19,0.16,Matches
239,Diego Fagúndez,uy URU,"FW,MF",LA Galaxy,28,1995,18.6,0.22,1.45,0.75,51.9,1.45,0.75,0.15,0.29,18.6,0.32,0.00,0.00,0.18,0.18,0.12,0.04,0.04,Matches
240,Marco Farfan,us USA,DF,FC Dallas,25,1998,22.5,0.04,0.27,0.04,16.7,0.27,0.04,0.17,1.00,19.1,0.00,0.00,0.00,0.03,0.03,0.10,0.02,0.02,Matches
241,Bryant Farkarlun,lr LBR,FW,Austin,22,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
242,Andrew Farrell,us USA,"DF,MF",NE Revolution,31,1992,6.1,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,12.0,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
243,Logan Farrington,us USA,"FW,MF",FC Dallas,22,2001,13.6,0.29,2.72,1.10,40.5,2.72,1.10,0.11,0.27,17.5,0.22,0.00,0.00,0.26,0.26,0.10,0.03,0.03,Matches
244,Mohamed Farsi,dz ALG,DF,Columbus Crew,24,1999,20.8,0.19,0.58,0.29,50.0,0.58,0.29,0.33,0.67,10.7,0.00,0.00,0.00,0.16,0.16,0.28,0.03,0.03,Matches
245,Felipe,br BRA,"MF,FW",Orlando City,33,1990,3.9,0.00,1.03,0.00,0.0,1.01,0.00,0.00,,15.9,0.00,0.00,0.00,0.23,0.23,0.22,-0.23,-0.23,Matches
246,Joaquín Fernández,es ESP,DF,Sporting KC,27,1996,1.3,0.00,0.77,0.77,100.0,0.78,0.78,0.00,0.00,7.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
