0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
128,Nathan Byrne,eng ENG,DF,Charlotte,33-182,1992,17.0,0.94,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
129,Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,26-147,1999,8.5,1.18,1.17,0.71,0.00,0.00,0.12,0.12,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
130,Rafael Cabral,br BRA,GK,Real Salt Lake,35-198,1990,34.0,0.29,0.29,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
131,Kenji Cabrera,pe PER,"MF,FW",Vancouver W'caps,22-311,2003,2.0,6.50,6.50,5.50,0.00,0.50,0.50,0.00,0.00,0.50,0.50,0.00,0.00,0.50,0.00,0.00,0.00,Matches
132,Noel Caliskan,de GER,"DF,MF",Real Salt Lake,25-097,2000,22.1,2.22,2.22,1.81,0.14,0.05,0.18,0.00,0.05,0.14,0.14,0.09,0.00,0.00,0.05,0.00,0.00,Matches
133,Drake Callender,us USA,GK,Inter Miami,28-058,1997,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
134,Brandon Cambridge,us USA,FW,Charlotte,23-093,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Leonardo Campana,ec ECU,FW,NE Revolution,25-133,2000,18.3,2.19,2.19,1.53,0.05,0.11,0.44,0.05,0.00,0.16,0.16,0.11,0.00,0.00,0.05,0.00,0.00,Matches
136,George Campbell,us USA,DF,CF Montréal,24-165,2001,14.9,1.81,1.81,1.41,0.00,0.00,0.27,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.07,0.00,0.00,Matches
137,Reggie Cannon,us USA,DF,Colorado Rapids,27-176,1998,27.1,1.29,1.29,1.18,0.00,0.07,0.00,0.04,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
138,Christian Cappis,us USA,MF,FC Dallas,26-113,1999,9.1,1.65,1.65,1.54,0.11,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Matches
139,Gustavo Caraballo,ve VEN,"MF,FW",Orlando City,17-097,2008,0.2,15.0,15.88,10.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
140,Felipe Carballo,uy URU,MF,NY Red Bulls,29-061,1996,10.5,2.48,2.49,1.81,0.38,0.10,0.00,0.19,0.00,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,Matches
141,Felipe Carballo,uy URU,MF,Portland Timbers,29-061,1996,1.4,3.57,3.63,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
142,Alan Carleton,us USA,"MF,FW",Nashville SC,20-259,2005,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
143,Antonio Carlos,br BRA,DF,Houston Dynamo,32-272,1993,6.7,0.75,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
144,Wikelman Carmona,ve VEN,"FW,MF",NY Red Bulls,22-283,2003,21.0,1.48,1.48,1.05,0.00,0.05,0.14,0.24,0.00,0.24,0.24,0.14,0.00,0.00,0.05,0.05,0.00,Matches
145,Maxi Carrizo,us USA,"MF,FW",NYCFC,17-279,2008,1.0,2.00,2.02,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.01,1.00,0.00,0.00,0.00,0.00,0.00,Matches
146,Julio Cascante,cr CRC,DF,Austin,32-062,1993,8.4,0.71,0.72,0.60,0.00,0.00,0.12,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,Matches
147,Jackson Castro,us USA,MF,Vancouver W'caps,22-345,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Nico Cavallo,us USA,"DF,MF",NYCFC,23-342,2001,3.5,1.71,1.69,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
149,Brayan Ceballos,co COL,DF,NE Revolution,24-194,2001,28.3,0.46,0.46,0.39,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
150,Roman Celentano,us USA,GK,FC Cincinnati,25-081,2000,30.0,0.13,0.13,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
151,Edwin Cerrillo,us USA,MF,LA Galaxy,25-062,2000,29.7,2.09,2.09,1.82,0.03,0.00,0.17,0.00,0.07,0.13,0.13,0.10,0.00,0.00,0.03,0.00,0.00,Matches
152,Dylan Chambost,fr FRA,MF,Columbus Crew,28-107,1997,29.2,3.39,3.39,2.67,0.41,0.03,0.07,0.10,0.10,0.34,0.34,0.27,0.07,0.00,0.00,0.00,0.00,Matches
153,Tomás Chancalay,ar ARG,"FW,MF",NE Revolution,26-337,1999,13.1,3.44,3.45,1.91,0.69,0.46,0.23,0.15,0.00,0.23,0.23,0.08,0.08,0.00,0.00,0.08,0.00,Matches
154,Kieran Chandler,us USA,DF,Minnesota Utd,20-178,2005,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
155,Maxime Chanot,lu LUX,DF,LAFC,36-013,1989,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
156,Diego Chará,co COL,MF,Portland Timbers,39-243,1986,13.3,1.73,1.73,1.58,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
157,Gabriel Chaves,br BRA,FW,LA Galaxy,24-296,2001,27.5,3.38,3.39,2.15,0.22,0.51,0.33,0.15,0.04,0.51,0.51,0.40,0.00,0.04,0.04,0.04,0.00,Matches
158,Yevhen Cheberko,ua UKR,DF,Columbus Crew,27-315,1998,25.7,1.21,1.21,1.09,0.04,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
159,Ștefan Chirilă,ro ROU,MF,FC Cincinnati,18-323,2007,0.1,10.0,11.25,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
160,Mathieu Choiniere,ca CAN,MF,LAFC,26-300,1999,7.1,2.82,2.80,2.54,0.00,0.00,0.14,0.00,0.14,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,Matches
161,Dominik Chong Qui,us USA,DF,Atlanta Utd,17-340,2007,1.7,1.18,1.21,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
162,Léo Chú,br BRA,"FW,MF",FC Dallas,25-242,2000,2.3,1.30,1.29,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
163,José Cifuentes,ec ECU,MF,Toronto FC,26-267,1999,5.4,2.59,2.59,2.22,0.00,0.00,0.19,0.19,0.00,0.37,0.37,0.19,0.00,0.00,0.19,0.00,0.00,Matches
164,Markus Cimermancic,ca CAN,"DF,MF",Toronto FC,21-064,2004,2.9,2.07,2.09,1.72,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
165,Caden Clark,us USA,"FW,MF",D.C. United,22-191,2003,1.6,2.50,2.57,1.88,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
166,Caden Clark,us USA,"FW,MF",CF Montréal,22-191,2003,17.4,2.82,2.81,1.84,0.06,0.11,0.34,0.29,0.17,0.40,0.40,0.29,0.00,0.00,0.06,0.00,0.06,Matches
167,Noah Cobb,us USA,"DF,FW",Atlanta Utd,20-137,2005,4.8,0.42,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
168,Noah Cobb,us USA,DF,Colorado Rapids,20-137,2005,4.0,0.25,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
169,Alonso Coello,es ESP,MF,Toronto FC,26-053,1999,24.1,2.78,2.78,2.03,0.50,0.00,0.08,0.00,0.17,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
170,Michael Collodi,us USA,GK,FC Dallas,24-193,2001,8.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
171,Theo Corbeanu,ca CAN,"FW,MF",Toronto FC,23-201,2002,25.6,2.73,2.74,1.99,0.00,0.31,0.23,0.16,0.04,0.23,0.23,0.12,0.00,0.04,0.04,0.04,0.00,Matches
172,Matthew Corcoran,us USA,MF,Nashville SC,19-290,2006,2.9,2.41,2.45,2.07,0.00,0.00,0.00,0.00,0.34,0.69,0.70,0.69,0.00,0.00,0.00,0.00,0.00,Matches
173,Carlos Coronel,py PAR,GK,NY Red Bulls,28-340,1996,31.0,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
174,David Costa,pt POR,"MF,FW",Portland Timbers,24-333,2001,27.9,4.01,4.01,3.15,0.57,0.11,0.14,0.04,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,Matches
175,Vitor Costa,br BRA,"DF,MF",SJ Earthquakes,31-156,1994,17.9,2.79,2.79,2.35,0.06,0.06,0.11,0.22,0.00,0.34,0.33,0.28,0.00,0.00,0.00,0.06,0.00,Matches
176,Baye Coulibaly,ml MLI,MF,Charlotte,19-330,2006,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
177,Antoine Coupland,ca CAN,FW,Vancouver W'caps,21-357,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
178,Brandan Craig,us USA,"DF,MF",CF Montréal,21-241,2004,16.0,1.31,1.31,0.88,0.25,0.00,0.13,0.00,0.06,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
179,Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-277,2005,15.4,2.08,2.07,1.49,0.45,0.00,0.06,0.00,0.06,0.26,0.26,0.19,0.06,0.00,0.00,0.00,0.00,Matches
180,Maxime Crépeau,ca CAN,GK,Portland Timbers,31-207,1994,15.0,0.20,0.20,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
181,Andrés Cubas,py PAR,MF,Vancouver W'caps,29-196,1996,22.0,1.36,1.37,1.23,0.00,0.05,0.00,0.00,0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
182,Mauricio Cuevas,us USA,"DF,FW",LA Galaxy,22-297,2003,8.8,3.07,3.08,2.73,0.11,0.11,0.00,0.11,0.00,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,Matches
183,Christopher Cupps,us USA,DF,Chicago Fire,17-192,2008,3.2,0.31,0.32,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
184,Hugo Cuypers,be BEL,FW,Chicago Fire,28-300,1997,31.1,2.38,2.38,1.61,0.00,0.19,0.42,0.16,0.00,0.19,0.19,0.10,0.00,0.06,0.00,0.03,0.00,Matches
185,Bruno Damiani,uy URU,"FW,MF",Philadelphia Union,23-230,2002,22.6,2.70,2.70,2.08,0.00,0.00,0.35,0.27,0.00,0.18,0.18,0.13,0.00,0.00,0.04,0.00,0.00,Matches
186,Dagur Dan Þórhallsson,is ISL,"MF,DF",Orlando City,25-216,2000,12.4,2.50,2.50,2.26,0.00,0.08,0.08,0.08,0.00,0.16,0.16,0.08,0.00,0.00,0.00,0.08,0.00,Matches
187,Daniel,br BRA,GK,SJ Earthquakes,31-212,1994,27.7,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
188,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,26-233,1999,10.1,2.77,2.79,1.68,0.40,0.00,0.40,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
189,Héctor David Martínez,py PAR,DF,Inter Miami,27-317,1998,4.2,0.71,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Matches
190,Juan David Mosquera,co COL,DF,Portland Timbers,23-090,2002,25.2,2.18,2.18,1.83,0.12,0.08,0.04,0.12,0.00,0.28,0.28,0.24,0.00,0.00,0.00,0.04,0.00,Matches
191,Edward Davis,us USA,FW,Philadelphia Union,19-170,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
192,Jake Davis,us USA,"MF,DF",Sporting KC,23-335,2002,20.7,2.51,2.51,2.13,0.10,0.10,0.10,0.10,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Matches
193,Pedro De la Vega,ar ARG,"FW,MF",Seattle Sounders,24-300,2001,13.0,3.54,3.53,2.38,0.08,0.62,0.31,0.08,0.08,0.38,0.38,0.23,0.00,0.00,0.15,0.00,0.00,Matches
194,Rodrigo De Paul,ar ARG,MF,Inter Miami,31-194,1994,9.9,4.24,4.25,3.33,0.61,0.00,0.10,0.20,0.00,0.51,0.51,0.20,0.20,0.00,0.00,0.10,0.00,Matches
195,Osaze De Rosario,gy GUY,FW,Seattle Sounders,24-138,2001,2.9,0.34,0.35,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
196,Jonathan Dean,us USA,"DF,MF",Chicago Fire,28-203,1997,18.6,1.45,1.45,1.08,0.16,0.00,0.16,0.05,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
197,Louicius Deedson,ht HAI,FW,FC Dallas,24-296,2001,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
198,Marky Delgado,us USA,MF,LAFC,30-202,1995,28.6,3.25,3.26,2.83,0.03,0.07,0.07,0.10,0.14,0.49,0.49,0.49,0.00,0.00,0.00,0.00,0.00,Matches
199,Patrickson Delgado,ec ECU,"MF,FW",FC Dallas,22-048,2003,19.0,2.68,2.69,1.95,0.37,0.00,0.21,0.11,0.05,0.42,0.42,0.32,0.05,0.00,0.05,0.00,0.00,Matches
200,Kévin Denkey,tg TOG,FW,FC Cincinnati,25-004,2000,25.3,2.65,2.65,1.86,0.00,0.20,0.32,0.20,0.08,0.24,0.24,0.16,0.00,0.04,0.00,0.04,0.00,Matches
201,Mikkel Desler,dk DEN,"DF,MF",Austin,30-288,1995,14.9,1.14,1.14,1.07,0.00,0.07,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
202,Djibril Diani,fr FRA,MF,Charlotte,27-296,1998,12.8,1.02,1.02,0.94,0.08,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
203,Jefferson Díaz,co COL,DF,Minnesota Utd,24-364,2000,21.1,1.18,1.18,0.95,0.00,0.09,0.14,0.00,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
204,Luis Díaz,cr CRC,"FW,DF",NE Revolution,26-363,1998,4.4,4.32,4.28,2.73,0.00,0.23,0.45,0.91,0.00,0.68,0.68,0.45,0.00,0.00,0.23,0.00,0.00,Matches
205,Mamadou Dieng,sn SEN,FW,Minnesota Utd,21-303,2004,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
206,Javairô Dilrosun,nl NED,FW,LAFC,27-165,1998,4.8,2.50,2.52,1.67,0.00,0.21,0.42,0.21,0.00,0.21,0.21,0.00,0.00,0.00,0.21,0.00,0.00,Matches
207,Hamady Diop,sn SEN,DF,San Diego FC,23-181,2002,2.2,3.64,3.67,3.18,0.00,0.00,0.45,0.00,0.00,0.45,0.46,0.45,0.00,0.00,0.00,0.00,0.00,Matches
208,Innocent Dje,ci CIV,MF,Chicago Fire,22-213,2003,13.0,1.31,1.31,1.08,0.00,0.00,0.08,0.08,0.08,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
209,Derek Dodson,us USA,"DF,MF",D.C. United,27-031,1998,6.4,1.88,1.87,1.41,0.16,0.31,0.00,0.00,0.00,0.31,0.31,0.16,0.16,0.00,0.00,0.00,0.00,Matches
210,Maxime Dominguez,ch SUI,MF,Toronto FC,29-306,1996,15.7,2.36,2.36,2.17,0.00,0.06,0.00,0.00,0.13,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,Matches
211,Ronald Donkor,ml MLI,MF,NY Red Bulls,21-014,2004,9.6,3.96,3.94,3.85,0.00,0.00,0.00,0.00,0.10,0.52,0.52,0.52,0.00,0.00,0.00,0.00,0.00,Matches
212,Christopher Donovan,us USA,"FW,MF",Philadelphia Union,25-118,2000,6.1,2.95,2.97,2.30,0.00,0.00,0.16,0.49,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,Matches
213,Griffin Dorsey,us USA,DF,Houston Dynamo,26-274,1999,29.6,2.20,2.19,1.82,0.03,0.14,0.14,0.07,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
214,C.J. dos Santos,us USA,GK,San Diego FC,25-102,2000,30.0,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
215,Hassani Dotson,us USA,MF,Minnesota Utd,28-120,1997,4.6,1.96,1.95,1.74,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
216,Souleyman Doumbia,ci CIV,DF,Charlotte,29-071,1996,6.7,0.75,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,Matches
217,Anders Dreyer,dk DEN,FW,San Diego FC,27-216,1998,33.5,4.60,4.59,3.31,0.54,0.27,0.33,0.12,0.03,0.90,0.89,0.66,0.09,0.09,0.06,0.00,0.00,Matches
218,Manu Duah,gh GHA,DF,San Diego FC,20-182,2005,11.5,1.13,1.13,1.04,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
219,Nicolás Dubersarsky,ar ARG,MF,Austin,20-348,2004,7.7,1.56,1.55,1.30,0.00,0.13,0.00,0.00,0.13,0.65,0.65,0.39,0.00,0.13,0.00,0.00,0.13,Matches
220,Erik Duenas,us USA,"MF,FW",Houston Dynamo,21-047,2004,1.8,3.89,3.99,2.78,0.00,0.56,0.56,0.00,0.00,1.11,1.14,0.56,0.00,0.00,0.56,0.00,0.00,Matches
221,Morris Duggan,de GER,DF,Minnesota Utd,25-041,2000,14.6,0.96,0.96,0.89,0.00,0.00,0.07,0.00,0.00,0.21,0.21,0.14,0.00,0.00,0.07,0.00,0.00,Matches
222,Bryce Duke,us USA,"MF,FW",CF Montréal,24-279,2001,7.5,4.13,4.11,2.67,0.53,0.13,0.40,0.40,0.00,0.27,0.27,0.00,0.13,0.00,0.00,0.13,0.00,Matches
223,Kyle Duncan,us USA,DF,NY Red Bulls,28-118,1997,17.0,2.18,2.18,1.76,0.06,0.06,0.12,0.12,0.06,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,Matches
224,Chris Durkin,us USA,MF,St. Louis,25-299,2000,12.3,1.79,1.79,1.63,0.00,0.00,0.08,0.08,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
225,Leonard Duru,eng ENG,DF,San Diego FC,20-326,2005,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
226,Jeremy Ebobisse,us USA,FW,LAFC,28-293,1997,9.7,2.58,2.57,1.86,0.00,0.10,0.41,0.21,0.00,0.31,0.31,0.10,0.00,0.00,0.10,0.10,0.00,Matches
227,Ender Echenique,ve VEN,"DF,FW",FC Cincinnati,21-246,2004,5.6,3.39,3.37,2.32,0.00,0.36,0.36,0.18,0.18,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,Matches
228,Daniel Edelman,us USA,MF,NY Red Bulls,22-220,2003,22.4,1.38,1.38,1.12,0.00,0.04,0.04,0.09,0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
229,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-314,1992,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
230,Matthew Edwards,us USA,DF,Atlanta Utd,22-290,2003,13.4,1.57,1.56,1.42,0.07,0.00,0.07,0.00,0.00,0.22,0.22,0.15,0.00,0.00,0.07,0.00,0.00,Matches
231,Michael Edwards,us USA,DF,Colorado Rapids,25-007,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
232,Raheem Edwards,ca CAN,DF,NY Red Bulls,30-142,1995,15.9,2.64,2.65,1.76,0.75,0.06,0.00,0.06,0.00,0.25,0.25,0.19,0.00,0.00,0.00,0.06,0.00,Matches
233,Noah Eile,se SWE,DF,NY Red Bulls,23-138,2002,29.0,0.93,0.93,0.83,0.03,0.03,0.03,0.00,0.00,0.14,0.14,0.10,0.00,0.00,0.03,0.00,0.00,Matches
234,Jack Elliott,eng ENG,DF,Chicago Fire,30-101,1995,32.6,0.67,0.67,0.55,0.00,0.00,0.09,0.00,0.03,0.15,0.15,0.06,0.00,0.00,0.09,0.00,0.00,Matches
235,Justin Ellis,us USA,FW,Orlando City,18-204,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
236,Rayan Elloumi,ca CAN,FW,Vancouver W'caps,18-078,2007,2.3,1.30,1.33,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
237,Emeka Eneli,us USA,MF,Real Salt Lake,26-047,1999,20.1,2.79,2.79,2.34,0.05,0.15,0.05,0.20,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
238,Lukas Engel,dk DEN,DF,FC Cincinnati,26-355,1998,30.2,2.02,2.02,1.75,0.03,0.10,0.07,0.00,0.07,0.36,0.36,0.26,0.00,0.07,0.03,0.00,0.00,Matches
239,Lawrence Ennali,de GER,"MF,FW",Houston Dynamo,23-272,2002,11.0,3.55,3.53,2.36,0.00,0.55,0.18,0.36,0.09,0.55,0.54,0.36,0.00,0.00,0.00,0.09,0.09,Matches
240,Boris Enow,cm CMR,MF,D.C. United,25-249,2000,18.2,1.59,1.60,1.48,0.00,0.05,0.00,0.00,0.05,0.16,0.17,0.11,0.00,0.00,0.00,0.00,0.05,Matches
241,Ramiro Enrique,ar ARG,FW,Orlando City,24-214,2001,10.5,1.90,1.91,1.24,0.00,0.19,0.38,0.00,0.10,0.29,0.29,0.19,0.00,0.10,0.00,0.00,0.00,Matches
242,Franco Escobar,ar ARG,DF,Houston Dynamo,30-286,1995,17.4,1.67,1.66,1.26,0.11,0.11,0.11,0.06,0.00,0.29,0.29,0.11,0.00,0.06,0.11,0.00,0.00,Matches
243,Olger Escobar,gt GUA,MF,CF Montréal,19-084,2006,5.0,4.20,4.20,3.00,0.00,0.80,0.00,0.40,0.00,0.60,0.60,0.20,0.00,0.00,0.00,0.40,0.00,Matches
244,Cristian Espinoza,ar ARG,"MF,FW",SJ Earthquakes,30-245,1995,29.9,6.45,6.46,3.98,2.04,0.23,0.07,0.07,0.07,0.67,0.67,0.47,0.17,0.00,0.00,0.03,0.00,Matches
245,Derrick Etienne,ht HAI,"FW,DF",Toronto FC,29-009,1996,11.0,1.45,1.46,1.18,0.00,0.00,0.00,0.18,0.09,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches
246,Evander,br BRA,MF,FC Cincinnati,27-178,1998,30.4,5.82,5.82,3.29,1.12,0.46,0.39,0.49,0.07,0.76,0.76,0.46,0.10,0.07,0.07,0.07,0.00,Matches
247,Nicolás Ezequiel Fernández,ar ARG,FW,NYCFC,25-327,2000,9.8,4.29,4.28,2.45,0.71,0.51,0.10,0.41,0.10,0.41,0.41,0.20,0.10,0.10,0.00,0.00,0.00,Matches
248,Diego Fagúndez,uy URU,"MF,FW",LA Galaxy,30-293,1995,27.4,3.50,3.50,2.74,0.66,0.07,0.00,0.04,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
249,Maximiliano Falcón,uy URU,DF,Inter Miami,28-217,1997,20.8,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
250,Fallou Fall,sn SEN,DF,St. Louis,21-233,2004,6.5,1.69,1.68,1.38,0.00,0.15,0.15,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
251,Marco Farfan,us USA,DF,FC Dallas,27-022,1998,14.3,1.40,1.39,1.12,0.14,0.00,0.00,0.14,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches
252,Jordan Farr,us USA,GK,D.C. United,31-060,1994,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
253,Andrew Farrell,us USA,"MF,DF",NE Revolution,33-246,1992,0.3,3.33,3.91,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
254,Logan Farrington,us USA,"FW,MF",FC Dallas,23-355,2001,17.4,2.36,2.35,1.49,0.00,0.17,0.23,0.40,0.06,0.29,0.29,0.23,0.00,0.00,0.00,0.06,0.00,Matches
255,Mohamed Farsi,dz ALG,"DF,MF",Columbus Crew,25-353,1999,16.5,2.61,2.61,2.36,0.06,0.06,0.06,0.06,0.00,0.42,0.43,0.42,0.00,0.00,0.00,0.00,0.00,Matches
256,Ilay Feingold,il ISR,DF,NE Revolution,21-103,2004,24.9,1.85,1.85,1.41,0.08,0.24,0.00,0.12,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
257,Joaquín Fernández,es ESP,DF,Sporting KC,29-187,1996,14.4,0.69,0.69,0.63,0.07,0.00,0.00,0.00,0.00,0.28,0.28,0.21,0.07,0.00,0.00,0.00,0.00,Matches
