# Bleem+ (2015) Fiducial SPT-SZ 2500d catalog
# https://pole.uchicago.edu/public/data/sptsz-clusters/
# Columns:
# (1) SPT name
# (2) redshift
# (3) M500 [1e14 msun]
# (4) Y_SZ [arcmin^2]
SPT-CLJ2024-4751 0.000 0.000 4.89e-05
SPT-CLJ2024-4435 0.000 0.000 5.51e-05
SPT-CLJ2025-5117 0.220 6.452 1.07e-04
SPT-CLJ2026-4513 0.700 3.288 6.55e-05
SPT-CLJ2027-4240 0.300 3.286 5.91e-05
SPT-CLJ2030-5638 0.394 3.510 6.00e-05
SPT-CLJ2031-4037 0.342 9.826 2.04e-04
SPT-CLJ2032-5627 0.284 5.476 9.34e-05
SPT-CLJ2034-4305 0.700 2.812 5.89e-05
SPT-CLJ2034-5936 0.919 4.448 1.01e-04
SPT-CLJ2034-6518 0.000 0.000 5.10e-05
SPT-CLJ2035-5251 0.528 6.210 1.02e-04
SPT-CLJ2035-4813 0.000 0.000 6.32e-05
SPT-CLJ2035-5614 0.000 0.000 6.17e-05
SPT-CLJ2039-5723 0.000 0.000 5.25e-05
SPT-CLJ2039-4143 0.660 2.857 5.55e-05
SPT-CLJ2040-5725 0.930 3.357 6.73e-05
SPT-CLJ2040-5342 0.550 3.974 6.93e-05
SPT-CLJ2040-4451 1.478 3.326 9.43e-05
SPT-CLJ2042-4310 0.720 2.943 6.31e-05
SPT-CLJ2043-5614 0.680 2.588 5.64e-05
SPT-CLJ2043-5035 0.723 4.531 8.73e-05
SPT-CLJ2045-6026 0.000 0.000 6.43e-05
SPT-CLJ2049-3953 0.000 0.000 6.43e-05
SPT-CLJ2049-6144 0.000 0.000 5.74e-05
SPT-CLJ2050-4213 0.510 4.752 9.13e-05
SPT-CLJ2051-6256 0.470 3.090 4.78e-05
SPT-CLJ2055-5456 0.139 4.788 8.06e-05
SPT-CLJ2056-4405 0.681 2.764 5.86e-05
SPT-CLJ2056-5459 0.718 3.505 7.41e-05
SPT-CLJ2058-5608 0.606 2.940 6.51e-05
SPT-CLJ2058-4027 0.000 0.000 5.26e-05
SPT-CLJ2059-5018 0.320 3.476 5.98e-05
SPT-CLJ2100-4548 0.712 2.921 6.38e-05
SPT-CLJ2100-5708 0.570 2.810 5.73e-05
SPT-CLJ2101-5542 0.250 3.314 6.31e-05
SPT-CLJ2101-6123 0.680 3.214 6.15e-05
SPT-CLJ2106-5820 0.000 0.000 6.46e-05
SPT-CLJ2106-5844 1.132 8.350 2.71e-04
SPT-CLJ2106-4421 0.698 4.690 1.04e-04
SPT-CLJ2106-6302 0.000 0.000 4.79e-05
SPT-CLJ2106-6019 0.970 2.438 5.80e-05
SPT-CLJ2108-4445 0.878 3.276 6.56e-05
SPT-CLJ2109-5040 0.470 3.812 6.13e-05
SPT-CLJ2109-4626 0.971 2.621 6.69e-05
SPT-CLJ2110-5244 0.570 4.195 7.07e-05
SPT-CLJ2111-5339 0.450 3.693 5.95e-05
SPT-CLJ2112-4434 0.520 5.626 1.05e-04
SPT-CLJ2115-4659 0.298 3.721 6.36e-05
SPT-CLJ2118-5055 0.625 3.610 6.81e-05
SPT-CLJ2120-4016 0.310 3.612 6.15e-05
SPT-CLJ2120-6518 0.000 0.000 5.88e-05
SPT-CLJ2120-4728 0.983 3.307 7.63e-05
SPT-CLJ2121-5546 0.000 0.000 5.13e-05
SPT-CLJ2121-6335 0.217 3.762 7.68e-05
SPT-CLJ2122-4100 0.000 0.000 5.19e-05
SPT-CLJ2124-6124 0.435 5.186 9.02e-05
SPT-CLJ2125-6113 0.000 0.000 5.14e-05
SPT-CLJ2127-6443 0.000 0.000 4.90e-05
SPT-CLJ2130-4847 0.000 0.000 6.50e-05
SPT-CLJ2130-6238 0.000 0.000 5.31e-05
SPT-CLJ2130-6458 0.316 4.902 8.04e-05
SPT-CLJ2131-4019 0.450 7.510 1.52e-04
SPT-CLJ2131-5003 0.450 3.214 6.13e-05
SPT-CLJ2132-4349 0.460 4.502 7.73e-05
SPT-CLJ2134-4238 0.196 6.012 9.97e-05
SPT-CLJ2134-4109 0.660 4.302 8.87e-05
SPT-CLJ2135-5726 0.427 6.150 1.19e-04
SPT-CLJ2136-6245 0.000 0.000 5.82e-05
SPT-CLJ2136-4704 0.425 4.367 7.99e-05
SPT-CLJ2136-5723 0.000 0.000 5.02e-05
SPT-CLJ2136-6307 0.926 3.364 6.66e-05
SPT-CLJ2136-5519 0.000 0.000 5.91e-05
SPT-CLJ2137-6437 0.890 2.531 5.26e-05
SPT-CLJ2138-6008 0.319 7.271 1.36e-04
SPT-CLJ2139-6430 0.000 0.000 5.92e-05
SPT-CLJ2140-5331 0.560 3.057 5.78e-05
SPT-CLJ2140-5727 0.405 3.393 6.21e-05
SPT-CLJ2143-5509 0.000 0.000 6.12e-05
SPT-CLJ2143-4629 0.000 0.000 7.06e-05
SPT-CLJ2145-4348 0.480 3.543 6.94e-05
SPT-CLJ2145-5644 0.480 6.924 1.42e-04
SPT-CLJ2146-4846 0.623 3.912 8.25e-05
SPT-CLJ2146-4633 0.933 5.452 1.21e-04
SPT-CLJ2146-5736 0.602 3.712 7.07e-05
SPT-CLJ2148-4843 0.966 2.688 7.50e-05
SPT-CLJ2148-6116 0.571 4.457 7.92e-05
SPT-CLJ2149-5330 0.600 2.940 5.07e-05
SPT-CLJ2152-5633 0.000 0.000 7.06e-05
SPT-CLJ2152-4629 0.000 0.000 6.42e-05
SPT-CLJ2155-5224 0.620 3.331 7.49e-05
SPT-CLJ2155-6048 0.539 3.510 6.07e-05
SPT-CLJ2158-5451 0.000 0.000 5.41e-05
SPT-CLJ2158-4851 0.000 0.000 5.96e-05
SPT-CLJ2159-6244 0.392 4.140 7.14e-05
SPT-CLJ2200-4128 0.530 3.069 5.96e-05
SPT-CLJ2200-4741 0.000 0.000 6.73e-05
SPT-CLJ2200-4249 0.000 0.000 5.57e-05
SPT-CLJ2201-5956 0.097 9.624 1.83e-04
SPT-CLJ2203-5047 1.139 3.052 6.75e-05
SPT-CLJ2203-4953 0.000 0.000 6.13e-05
SPT-CLJ2203-5817 0.000 0.000 5.13e-05
SPT-CLJ2205-5927 0.320 3.955 6.37e-05
SPT-CLJ2206-4217 0.000 0.000 4.73e-05
SPT-CLJ2206-4057 0.420 3.012 5.69e-05
SPT-CLJ2206-5807 0.600 4.081 7.20e-05
SPT-CLJ2207-4752 0.000 0.000 5.55e-05
SPT-CLJ2211-4833 0.240 5.157 8.74e-05
SPT-CLJ2214-4642 1.151 3.769 9.07e-05
SPT-CLJ2217-6509 0.095 4.971 1.17e-04
SPT-CLJ2218-5532 0.687 3.040 7.13e-05
SPT-CLJ2218-4519 0.650 5.307 1.02e-04
SPT-CLJ2219-5708 0.330 6.069 1.05e-04
SPT-CLJ2220-4534 0.590 4.462 7.74e-05
SPT-CLJ2222-4834 0.652 5.424 9.95e-05
SPT-CLJ2223-5015 0.240 3.464 4.08e-06
SPT-CLJ2223-5227 0.270 3.424 5.74e-05
SPT-CLJ2228-5828 0.710 3.171 5.71e-05
SPT-CLJ2229-4320 0.560 2.900 7.14e-05
SPT-CLJ2231-5247 0.000 0.000 7.14e-05
SPT-CLJ2232-5959 0.594 5.552 1.13e-04
SPT-CLJ2232-6151 0.710 3.017 5.81e-05
SPT-CLJ2233-5339 0.480 5.476 9.75e-05
SPT-CLJ2233-4729 0.000 0.000 6.23e-05
SPT-CLJ2235-4416 0.450 3.548 6.53e-05
SPT-CLJ2236-4555 1.162 4.019 1.11e-04
SPT-CLJ2241-4001 0.640 2.898 5.15e-05
SPT-CLJ2241-4558 0.977 3.631 9.51e-05
SPT-CLJ2241-4236 0.200 3.762 5.67e-05
SPT-CLJ2242-4435 0.730 2.733 5.29e-05
SPT-CLJ2245-6206 0.580 5.405 1.01e-04
SPT-CLJ2248-4431 0.351 17.271 4.76e-04
SPT-CLJ2249-4442 0.600 3.176 6.75e-05
SPT-CLJ2249-6426 0.094 4.410 8.26e-05
SPT-CLJ2250-4808 0.913 3.317 7.21e-05
SPT-CLJ2251-4848 0.791 3.819 8.63e-05
SPT-CLJ2254-6314 0.211 5.698 9.21e-05
SPT-CLJ2254-4907 1.110 2.476 5.79e-05
SPT-CLJ2254-4620 0.270 5.681 9.10e-05
SPT-CLJ2254-5805 0.153 3.495 9.53e-05
SPT-CLJ2255-5256 0.000 0.000 5.45e-05
SPT-CLJ2256-5414 0.000 0.000 4.76e-05
SPT-CLJ2258-4044 0.826 5.879 1.53e-04
SPT-CLJ2259-6057 0.750 5.607 1.13e-04
SPT-CLJ2259-3952 0.560 5.552 1.05e-04
SPT-CLJ2259-5431 0.390 3.281 5.42e-05
SPT-CLJ2259-5617 0.153 3.748 5.57e-05
SPT-CLJ2300-5148 0.000 0.000 5.08e-05
SPT-CLJ2300-4500 0.640 2.876 6.18e-05
SPT-CLJ2300-5331 0.262 4.074 6.23e-05
SPT-CLJ2300-5233 0.000 0.000 5.34e-05
SPT-CLJ2301-5546 0.748 2.686 5.17e-05
SPT-CLJ2301-4023 0.730 4.807 1.07e-04
SPT-CLJ2302-4435 0.350 3.105 5.74e-05
SPT-CLJ2306-5120 1.267 2.171 5.05e-05
SPT-CLJ2306-6505 0.530 5.733 9.96e-05
SPT-CLJ2308-4834 0.000 0.000 6.55e-05
SPT-CLJ2309-4130 0.000 0.000 5.85e-05
SPT-CLJ2311-4203 1.151 3.043 6.29e-05
SPT-CLJ2311-5820 0.850 3.014 6.45e-05
SPT-CLJ2312-4621 0.630 4.281 7.47e-05
SPT-CLJ2313-4243 0.056 4.057 3.93e-05
SPT-CLJ2316-4500 0.730 2.726 6.12e-05
SPT-CLJ2316-5453 0.390 3.805 5.69e-05
SPT-CLJ2317-4707 0.650 2.879 6.31e-05
SPT-CLJ2319-4716 0.460 4.088 6.23e-05
SPT-CLJ2321-5419 0.000 0.000 5.71e-05
SPT-CLJ2325-4111 0.358 7.545 1.34e-04
SPT-CLJ2327-5137 0.320 3.038 4.97e-05
SPT-CLJ2328-4616 0.000 0.000 5.21e-05
SPT-CLJ2329-5831 0.751 3.605 6.75e-05
SPT-CLJ2330-4502 0.310 3.552 6.12e-05
SPT-CLJ2331-5051 0.576 5.598 1.06e-04
SPT-CLJ2332-5053 0.560 2.605 8.65e-05
SPT-CLJ2332-5358 0.402 5.290 1.06e-04
SPT-CLJ2335-4544 0.547 6.171 1.12e-04
SPT-CLJ2335-4243 0.722 3.383 6.30e-05
SPT-CLJ2337-5942 0.775 8.431 1.98e-04
SPT-CLJ2337-5912 0.600 2.698 4.97e-05
SPT-CLJ2339-4058 0.000 0.000 6.83e-05
SPT-CLJ2341-5119 1.003 5.590 1.27e-04
SPT-CLJ2341-5724 1.377 3.050 6.39e-05
SPT-CLJ2342-5411 1.075 3.931 9.21e-05
SPT-CLJ2342-4714 0.420 3.202 6.19e-05
SPT-CLJ2344-4224 0.290 3.071 5.03e-05
SPT-CLJ2344-4243 0.596 12.045 3.31e-04
SPT-CLJ2345-6405 0.937 5.102 1.09e-04
SPT-CLJ2350-5301 0.540 3.533 6.49e-05
SPT-CLJ2351-5452 0.384 3.840 6.40e-05
SPT-CLJ2352-5846 0.000 0.000 4.72e-05
SPT-CLJ2352-4657 0.734 4.417 8.93e-05
SPT-CLJ2352-6134 0.698 3.748 8.44e-05
SPT-CLJ2353-5512 0.000 0.000 5.14e-05
SPT-CLJ2354-5633 0.530 3.338 5.65e-05
SPT-CLJ2355-5055 0.320 4.098 6.88e-05
SPT-CLJ2356-4220 0.757 3.119 7.48e-05
SPT-CLJ2356-6014 0.000 0.000 4.64e-05
SPT-CLJ2358-5229 0.640 2.507 4.52e-05
SPT-CLJ2358-4143 0.000 0.000 5.81e-05
SPT-CLJ2358-6129 0.370 4.005 6.99e-05
SPT-CLJ2358-4354 0.600 3.671 6.79e-05
SPT-CLJ2359-5727 0.000 0.000 4.79e-05
SPT-CLJ2359-5009 0.775 3.605 7.09e-05
